"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled"
62,-8.55,-7,-19.2933333333333,-9.60797690315817,-19.2933333333333
63,-14.8235294117647,-14,-16.2133333333333,-20.7864526204623,-16.2133333333333
64,-19.1764705882353,-19,-13.033125,-26.8363479725996,-13.033125
65,-21.6,-23,-8.723125,-14.7415140030348,-8.723125
66,-1.015625,1,17.2415808823529,12.8498866571474,17.2415808823529
67,13,2.5,55.676875,49.3736134799573,55.676875
68,115,115,91.076875,88.265425937405,91.076875
69,173,173,126.18,122.961083501501,126.18
70,155.4,157,146.58,148.191293579481,146.58
71,174.5,174.5,141.78,163.866555319484,141.78
72,115,115,120.58,171.192315804876,120.58
79,91,91,99.1,89.9441590761619,99.1
81,67,67,71.8,60.2953724711196,71.8
83,48,48,55.6,43.0009350778757,55.6
84,38,38,43.4,38.3019213875541,43.4
86,34,34,35.4,33.581805294995,35.4
88,30,30,30.6,30.8075726205261,30.6
89,27,27,27.2,28.7190684732489,27.2
90,24,24,24.2,26.2548675683748,24.2
91,21,21,22.4,23.8402017835908,22.4
93,19,19,21.8,20.8604030850417,21.8
94,21,21,22.8,21.1457339266508,22.8
95,24,24,25.6,23.0810974324842,25.6
96,29,29,30.2,26.5895756471573,30.2
97,35,35,35.8,31.4938206486712,35.8
98,42,42,42.3,37.6164845150271,42.3
100,49,49,51.3,52.8076771542692,51.3
101,56.5,56.5,59.7,61.4377327727051,59.7
102,74,74,69.1,70.0741517052722,69.1
104,77,77,78,84.6460323739428,78
105,89,89,85.5,89.2214705406178,85.5
106,93.5,93.5,89.5,91.3006049229342,89.5
107,94,94,92.3,91.2903239380122,92.3
108,94,94,91.7,89.8148960433395,91.7
109,91,91,89.1,87.4985896964037,89.1
110,86,86,85.35,84.9656733546922,85.35
111,80.5,80.5,81.6833333333333,82.7254442529117,81.6833333333333
112,75.25,75,78.8166666666667,80.8273147346459,78.8166666666667
113,75.6666666666667,75,77.2166666666667,79.2057259206976,77.2166666666667
114,76.6666666666667,77,76.5166666666667,77.7951189318696,76.5166666666667
115,78,78,76.6666666666667,76.5299348889647,76.6666666666667
116,77,77,76.5333333333333,75.3602770309919,76.5333333333333
120,76,76,75.7,72.0485628671571,75.7
122,75,75,74.3,71.6106497666315,74.3
123,72.5,72.5,72.7,71.7956276168562,72.7
125,71,71,71.3,72.738198143794,71.3
126,69,69,69.9,73.0337991841437,69.9
127,69,69,68.8,72.8728393911149,68.8
128,68,68,68.2,72.0007402512329,68.2
129,67,67,68.2,70.1629232510233,68.2
130,68,68,68.2,67.2846908584134,68.2
131,69,69,68.4,64.0108694669372,68.4
132,69,69,68.8,61.1661664515309,68.8
134,69,69,69,60.0629450486718,69
135,69,69,69,63.4538414110908,69
136,69,69,69,70.023718145048,69
137,69,69,69.36,77.8524451041018,69.36
138,69,69,70.96,84.4709246375349,70.96
139,70.8,70,73.66,87.4100590946302,73.66
140,77,77,78.7933333333333,84.2007508246704,78.7933333333333
141,82.5,82.5,87.0933333333333,74.7998458618321,87.0933333333333
142,94.6666666666667,95,99,68.8679649798656,99
143,110.5,110.5,118.975,78.4916726374155,118.975
144,130.333333333333,130,149.525,115.757533293126,149.525
145,176.875,176.5,207.446212121212,188.521095807772,207.446212121212
146,235.25,235,285.399545454545,287.713846650654,285.399545454545
147,384.272727272727,329,383.332878787879,400.036256693204,383.332878787879
148,500.266666666667,481,497.357878787879,512.188796806853,497.357878787879
149,620,620,604.307878787879,610.871937863034,604.307878787879
150,747,747,688.553333333333,685.788635366997,688.553333333333
153,770,770,757.1,797.078945506103,757.1
155,805.5,805.5,806.7,823.876453698295,806.7
156,843,843,836.3,837.20253424726,836.3
157,868,868,866.7,856.767337330596,866.7
158,895,895,895.2,885.818004895798,895.2
159,922,922,924.7,921.728731982967,924.7
160,948,948,961.5,960.405476905357,961.5
161,990.5,990.5,1002.9,997.754197976219,1002.9
162,1052,1052,1045.9,1032.65617333827,1045.9
163,1102,1102,1094.6,1075.8939604521,1094.6
164,1137,1137,1158.3,1141.22543660774,1158.3
165,1191.5,1191.5,1238.76666666667,1242.40847909524,1238.76666666667
166,1309,1308.5,1555.56666666667,1393.20096520464,1555.56666666667
167,1454.33333333333,1454,1661.9,1602.85276923489,1661.9
168,2686,2687.5,1867.92,1862.58175352049,1867.92
169,1668.66666666667,1669,2171.22,2159.09777740484,2171.22
170,2221.6,1831,2443.39246376812,2479.11070023134,2443.39246376812
171,2825.5,2818,2700.79246376812,2809.33038134339,2700.79246376812
172,2815.19565217391,2767,3169.25913043478,3137.21850371521,3169.25913043478
173,3973,3973,3539.33913043478,3453.24404484418,3539.33913043478
174,4011,4011,3806.13913043478,3748.62780585852,3806.13913043478
175,4072,4072,4102.75,4014.59058788643,4102.75
176,4159.5,4159.5,4201.88333333333,4245.35117905628,4201.88333333333
177,4298.25,4298,4324.81666666667,4447.120315497,4324.81666666667
178,4468.66666666667,4468,4470.35,4629.10672033768,4470.35
