Number,Depth,Fraction,Min. Temp,Max. Temp,T50,Frac Prop,TFrac. Prop. Mass,uE,sigmaE,Bulk uE,Bulk sE,Fm,Fm error,d13C,d13C Error,Bulk Fm,Cum. Fm,% Fm Err,Bulk d13C,Cum. d13C,Cum. d13C err,Group,Measured,Corr_Fm
1,0-10,Bulk Soil,140,205,188,-,0.041,116.4865309,6.305828713,134.0689474,14.21561416,1.047876725,0.002582451,-28,0.02,0.9972,0.994952016,0.225684029,-27.001,-27.0139328,0.012932802,Density,T,1.045308054
2,0-10,Bulk Soil,205,260,241,,0.217,121.6465955,5.419176642,,,1.037453585,0.001476097,-27.86539074,0.012215274,,,#DIV/0!,,,,Density,T,1.037273987
3,0-10,Bulk Soil,260,310,286,,0.389,126.5615551,4.798936581,,,1.002940575,0.001426983,-27.35934807,0.012622585,,,#DIV/0!,,,,Density,T,1.00288077
4,0-10,Bulk Soil,310,350,327,,0.185,135.5976639,6.286286192,,,0.986695424,0.001404216,-26.43619748,0.01309156,,,#DIV/0!,,,,Density,T,0.986673201
5,0-10,Bulk Soil,350,380,363,,0.073,144.062866,5.620705432,,,0.964933359,0.001681683,-25.67770863,0.15,,,#DIV/0!,,,,Density,T,0.964955879
6,0-10,Bulk Soil,380,410,393,,0.042,150.2256721,5.919136066,,,0.945864458,0.001639156,-25.323702,0.15,,,#DIV/0!,,,,Density,T,0.945939932
7,0-10,Bulk Soil,410,450,426,,0.027,158.0043644,6.137657133,,,0.90653329,0.001597105,-25.66176463,0.15,,,#DIV/0!,,,,Density,T,0.906992463
8,0-10,Bulk Soil,450,750,508,,0.026,172.4866633,11.04608636,,,0.751394751,0.001253996,-25.18170075,0.15,,,#DIV/0!,,,,Density,T,0.762058184
,,,,,,,,,,,,,,,,,,,,,,,,
1,0-10,FPOM,140,240,221,0.087,0.108,115.1699729,7.39929819,133.5121071,15.27873401,1.1015,0.0017,-28.03434413,0.011756298,1.08,1.0818944,0.175253703,-26.554,-26.53132462,-0.022675382,Density,T,1.100399341
2,0-10,FPOM,240,315,279,,0.43,125.6512293,6.424992894,,,1.0938,0.0018,-26.45521475,0.012960727,,,,,,,Density,T,1.093605444
3,0-10,FPOM,315,400,355,,0.334,141.7620338,7.55662158,,,1.0724,0.0016,-26.47392568,0.012727425,,,,,,,Density,T,1.072167942
4,0-10,FPOM,400,750,432,,0.126,160.0958472,11.11701886,,,1.0668,0.0016,-26.07604708,0.012084893,,,,,,,Density,T,1.064415071
,,,,,,,,,,,,,,,,,,,,,,,,
