"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled"
63,-9.91666666666667,-10.5,-2.55228070175439,-22.0120567765674,-2.55228070175439
64,-2.6,-3,-5.07438596491228,-15.7818989767923,-5.07438596491228
65,-3.75,-3.5,-2.74343859649123,1.73249941780452,-2.74343859649123
66,-2.21052631578947,-2,5.37180963045913,26.1906211621403,5.37180963045913
67,4.76,5,44.0918096304591,53.6749091200395,44.0918096304591
68,30.6595744680851,26,82.0418096304591,81.9596465909534,82.0418096304591
69,191,194,120.483914893617,109.242076983241,120.483914893617
70,186,202,153.531914893617,133.719443705259,153.531914893617
71,190,190,177,153.588990165367,177
72,170,170,163.8,167.456107186284,163.8
74,148,148,147,178.543122245534,147
76,125,125,123.3,171.741364624792,123.3
81,102,102,101.3,110.395304560178,101.3
84,71.5,71.5,83.3,69.02707046481,83.3
86,60,60,69.5,50.3167967862822,69.5
88,58,58,59.9,43.185311841568,59.9
90,56,56,55.9,45.0687511714987,55.9
91,54,54,54.3,48.1065543200086,54.3
93,51.5,51.5,53.5,55.8053013452235,53.5
95,52,52,53.9,62.2428676895055,53.9
96,54,54,55.9,63.9092335707669,55.9
97,58,58,59.6,64.9491200419625,59.6
98,64,64,65.6,66.0789533588177,65.6
100,70,70,73.6,71.4741655524076,73.6
101,82,82,82.4,77.1723969405928,82.4
102,94,94,91.4,85.5047096175431,91.4
103,102,102,100.4,95.5796769400064,100.4
104,109,109,108,106.184301684935,108
105,115,115,114,116.105586629282,114
106,120,120,118.8,124.13053455,118.8
107,124,124,122.4,129.046148224041,122.4
108,126,126,124.6,130.019498678309,124.6
109,127,127,125.3,127.737929939508,125.3
110,126,126,122.385714285714,123.268854284297,122.385714285714
111,123.5,123.5,118.985714285714,117.67968398933,118.985714285714
112,109.428571428571,112,114.785714285714,112.037831331264,114.785714285714
113,109,109,108.785714285714,107.21440950781,108.785714285714
114,106,106,102.885714285714,103.295335400894,102.885714285714
115,96,96,99.6,100.170226813494,99.6
117,94,94,95.9,95.8603774091665,95.9
121,93,93,92.5,91.9114481658282,92.5
123,90.5,90.5,90.9,90.5062531744942,90.9
125,89,89,89.5,88.6311033866973,89.5
126,88,88,88.3,87.7332532788686,88.3
127,87,87,87.6,87.0426523172551,87.6
128,87,87,87.4,86.6948749684837,87.4
129,87,87,87.6,86.8254956991809,87.6
130,88,88,88.2,87.5352906688908,88.2
131,89,89,89.2,88.785842808826,89.2
132,90,90,91.3,90.5039367431167,91.3
134,92,92,93.5,95.049888491284,93.5
135,97.5,97.5,96.9,97.7313155534208,96.9
136,99,99,100.9,100.736929478571,100.9
137,106,106,106.5,104.741047751554,106.5
138,110,110,114.6,110.567494429328,114.6
