"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled"
63,-67.7857142857143,-69.5,-4.32647980039284,-89.1126834948634,-4.32647980039284
64,-71.1428571428571,-72,-41.9173294735955,-87.7899470564081,-41.9173294735955
65,-41.3076923076923,-61,-24.6776688161193,-35.0370160957385,-24.6776688161193
66,-7.17647058823529,-17,42.0794740410235,39.7833309721671,42.0794740410235
67,64.0243902439024,55,114.308045469595,112.069037831219,114.308045469595
68,266,266,184.969583931133,176.260936560883,184.969583931133
70,290,290,252.604878048781,277.169526345461,252.604878048781
72,312,312,307.4,336.121533752734,307.4
73,331,331,314,347.867704510766,314
75,338,338,322.4,336.45554603393,322.4
76,299,299,319.2,317.952993289764,319.2
77,332,332,299,294.40225878611,299
78,296,296,270.4,268.415442956229,270.4
79,230,230,245.8,242.604646233379,245.8
80,195,195,210.4,219.122886893764,210.4
82,176,176,178.2,179.95415679913,178.2
84,155,155,155.8,150.22919475683,155.8
85,135,135,138.2,138.552145482632,138.2
91,118,118,123.2,104.11516622343,123.2
93,107,107,112.2,102.790302018796,112.2
95,101,101,105.6,104.626984714545,105.6
96,100,100,103.6,106.349498748024,103.6
98,102,102,105.2,110.627344317424,105.2
100,108,108,109.4,114.981576065062,109.4
101,115,115,115.4,116.799572821337,115.4
103,122,122,122.6,119.609182023774,122.6
105,130,130,130.2,123.397356691808,130.2
106,138,138,137.4,126.521983004296,137.4
107,146,146,144,130.92754299783,144
109,151,151,149.2,144.963187114236,149.2
110,155,155,152.6,154.809643559347,152.6
111,156,156,153.6,164.471821446546,153.6
112,155,155,152.6,171.448216222231,152.6
113,151,151,149.2,173.237323332796,149.2
114,146,146,143.6,167.337638224635,143.6
115,138,138,134.7,151.247656344146,134.7
116,128,128,122.7,124.023859118669,122.7
117,110.5,110.5,109.1,90.9546718993354,109.1
118,91,91,94.5,58.8865060182229,94.5
119,78,78,79.5,34.6657728074089,79.5
120,65,65,64.6,25.138883598971,64.6
121,53,53,48.5333333333333,34.406510193771,48.5333333333333
122,36,36,31.6333333333333,55.5863662678088,31.6333333333333
123,10.6666666666667,11,15.3333333333333,79.0504259658682,15.3333333333333
125,-6.5,-6.5,0.133333333333332,94.319052813189,0.133333333333332
126,-16.5,-16.5,-13.0266666666667,66.8675682520185,-13.0266666666667
127,-23,-23,-22.16,8.04515184662381,-22.16
128,-29.8,-31,-28.7933333333333,-67.491382495122,-28.7933333333333
129,-35,-35,-34.2266666666667,-140.228252912729,-34.2266666666667
130,-39.6666666666667,-40,-38.16,-190.651677545705,-38.16
131,-43.6666666666667,-44,-39.7,-199.247874533561,-39.7
132,-42.6666666666667,-43,-33.575,-146.503062015804,-33.575
133,-37.5,-37.5,-11.2416666666667,-20.3948067119846,-11.2416666666667
134,-4.375,-7.5,43.8694444444444,161.133930338199,43.8694444444444
135,72,71,205.506777777778,372.648839515006,205.506777777778
136,231.888888888889,228,470.806777777778,588.7156111987,470.806777777778
137,765.52,777,719.481777777778,783.899935769541,719.481777777778
138,1289,1289,986.081777777778,938.672332602985,986.081777777778
139,1239,1176,1228.904,1057.12263705527,1228.904
142,1405,1405,1373.4,1294.48763963955,1373.4
143,1446,1446,1426.7,1367.59621808157,1426.7
144,1488,1488,1509.7,1454.35602589961,1509.7
145,1555.5,1555.5,1575.7,1561.19688221628,1575.7
147,1654,1654,1645.1,1800.23864794597,1645.1
148,1735,1735,1724.7,1909.65074331599,1724.7
149,1793,1793,1818.3,1997.13110432746,1818.3
150,1886,1886,1914.5,2051.28532395887,1914.5
151,2023.5,2023.5,2018.6,2060.71899518872,2018.6
152,2135,2135,2145.8,2027.48143734465,2145.8
153,2255.5,2255.5,2301.8,2007.39687515085,2301.8
154,2429,2429,2491.43333333333,2069.73325968065,2491.43333333333
155,2666,2665,2722.7,2283.75854200737,2722.7
156,2971.66666666667,2971,2995.33333333333,2718.74067320434,2995.33333333333
157,3291.33333333333,3291,3309.13333333333,3418.24977644071,3309.13333333333
158,3618.66666666667,3619,4258.85833333333,4323.06466326885,4258.85833333333
159,3998,3998.5,5194.805,5348.26631733697,5194.805
160,7414.625,7422,6739.03833333333,6408.93572229323,6739.03833333333
161,7651.4,7413,8243.205,7420.15386178584,8243.205
166,11012.5,11012.5,9693.005,10700.2139066874,9693.005
167,11139.5,11139.5,10474.68,11042.2191504525,10474.68
168,11247,11247,11225,11298.4563379829,11225
169,11323,11323,11319.3,11477.0258402086,11319.3
170,11403,11403,11421.5333333333,11586.0280280597,11421.5333333333
171,11484,11484,11545.1333333333,11633.5632724663,11545.1333333333
172,11650.6666666667,11650,11680.5333333333,11639.1274245981,11680.5333333333
173,11865,11865,11828.7333333333,11667.7982565825,11828.7333333333
174,12000,12000,12015.1333333333,11796.0490207864,12015.1333333333
175,12144,12144,12289.3666666667,12100.3529695767,12289.3666666667
176,12416,12413,12670.9166666667,12657.1833553205,12670.9166666667
177,13021.8333333333,13015.5,13820.7284313726,13511.6529032018,13820.7284313726
178,13772.75,13776,14729.3215348208,14583.4322296737,14729.3215348208
179,17749.0588235294,19420,15798.5615348208,15760.8314240065,15798.5615348208
180,16686.9655172414,16594,17200.7948681542,16932.1605754705,17200.7948681542
181,17762.2,17005,18474.6448681542,17985.729773336,18474.6448681542
184,20033,20033,18979.0331034483,19954.7740811485,18979.0331034483
186,20142,20142,19741.64,20503.0089493694,19741.64
187,20271,20271,20341.2,20633.9152789307,20341.2
188,20500,20500,20523.8,20707.6263372578,20523.8
189,20760,20760,20722,20752.8512231999,20722
190,20946,20946,20931,20797.3303294267,20931
191,21133,21133,21129,20864.9292238912,21129
192,21316,21316,21350.2,20978.5447683674,21350.2
193,21490,21490,21561.1,21161.0738246289,21561.1
194,21866,21876,21735.7,21435.4132544496,21735.7
195,22000.5,22000.5,21868.1666666667,21824.4599196034,21868.1666666667
196,22006,22006,21971.2666666667,22368.1337050412,21971.2666666667
197,21978.3333333333,21975,23383.0380952381,23174.4465884232,23383.0380952381
198,22005.5,22005.5,24851.5842490843,24368.4335705868,24851.5842490843
199,28924.8571428571,28931,26458.1472120472,26075.1296523692,26458.1472120472
200,29343.2307692308,31329,29563.6305453805,28419.5698346079,29563.6305453805
201,30038.8148148148,29079,32864.0805453806,31436.2112957556,32864.0805453806
202,37505.75,37509,34900.5091168091,34797.1999247276,34900.5091168091
203,38507.75,38708,36987.662962963,38084.1037880542,36987.662962963
204,39107,39107,38990.1,40878.4909522661,38990.1
205,39779,39779,39581.25,42761.9294838939,39581.25
209,40051,40051,40054.7,40838.337579709,40054.7
210,40461.5,40461.5,40464.7,39535.3588969462,40464.7
211,40875,40875,40830.9,38570.5801204081,40830.9
212,41157,41157,41244.9,38277.5173445502,41244.9
213,41610,41610,41706.1,38989.6866638283,41706.1
214,42121,42121,42392.3,41040.604172698,42392.3
215,42767.5,42767.5,43469.7,44623.1621134437,43469.7
216,44306,44265,47526.82,49367.7573196652,47526.82
217,46544,46544,53264.3088888889,54764.1627727909,53264.3088888889
218,61895.6,50898,58712.2888888889,60302.1514542495,58712.2888888889
219,70808.4444444444,77975,63915.5006535948,65471.4963454695,63915.5006535948
220,70007.4,73838.5,71155.7006535948,69864.8488343047,71155.7006535948
221,70322.0588235294,71859.5,75474.1806535948,73486.3739343102,75474.1806535948
222,82745,82745,78275.7917647059,76443.1150654663,78275.7917647059
226,83488,83488,81543.5117647059,83763.1083012036,81543.5117647059
227,84816.5,84816.5,84974.1,85001.5808878179,84974.1
228,86346,86346,86284.8,86255.159015977,86284.8
229,87475,87475,88087.3333333333,87819.0310582219,88087.3333333333
231,89298.5,89298.5,90132.2333333333,93208.926337181,90132.2333333333
232,92500.6666666667,92504,101296.933333333,97700.5843000014,101296.933333333
233,95041,95041,108044.833333333,103833.80562912,108044.833333333
234,142169.5,142169.5,116369.066666667,111941.407687589,116369.066666667
235,121214.5,98966.5,126978.6,122148.788771433,126978.6
236,130919.666666667,101349,137191.346153846,133751.670908561,137191.346153846
237,145548.333333333,144480,134879.538461538,145838.35705985,134879.538461538
238,146104.730769231,155239,149928.938461538,157497.15018618,149928.938461538
239,130610.461538462,129874,163827.605128205,167816.35324843,163827.605128205
240,196461.5,196461.5,175489.938461538,176250.895816328,175489.938461538
241,200413,200413,188104.592307692,183722.213895004,188104.592307692
242,203860,203860,205594.966666667,191518.370098437,205594.966666667
243,209178,209131,211496.666666667,200927.427040606,211496.666666667
244,218062.333333333,218040,218225.333333333,213237.44733549,218225.333333333
245,225970,225970,226538.483333333,229292.437673628,226538.483333333
246,234056.333333333,234055,241520.083333333,248160.181051796,241520.083333333
247,245425.75,245420,261775.516666667,268464.404543334,261775.516666667
248,284086,284945.5,282464.216666667,288828.835221576,282464.216666667
249,319339.5,319224,303113.25,307877.200159861,303113.25
250,329413.5,329413.5,323955.95,324233.226431526,323955.95
251,337301.5,337301.5,338980.55,336867.692414026,338980.55
252,349639.25,349711.5,347904.95,346139.581701293,347904.95
253,359209,359209,355626.65,352754.929191377,355626.65
256,363961.5,363961.5,362610.35,363722.069859035,362610.35
257,368022,368022,367994.6,366771.59914089,367994.6
259,372220,372289,372128.9,374923.516452909,372128.9
260,376560.5,376560.5,376067.8,379686.122214371,376067.8
261,379880.5,379880.5,380351.466666667,384573.79834792,380351.466666667
262,383656,383656,386699.291666667,389337.024079896,386699.291666667
263,389440.333333333,389383,392595.016666667,393726.278636639,392595.016666667
264,403959.125,405394.5,398575.202380952,397527.816213984,398575.202380952
265,406039.125,404443.5,402873.802380952,400670.990885747,402873.802380952
266,409781.428571429,410660.5,405448.135714286,403120.93169524,405448.135714286
270,405149,405149,404507.910714286,405290.937176749,404507.910714286
271,402312,402312,402526.085714286,403751.644324569,402526.085714286
272,399258,399258,399184,401309.89186999,399184
273,396130,396130,395932.3,397989.898246976,395932.3
274,393071,393071,392530.5,394052.239452101,392530.5
275,388890.5,388890.5,389196.3,389816.580872591,389196.3
276,385303,385303,385987.3,385602.587895672,385987.3
277,382587,382587,381932.45,381729.92590857,381932.45
278,380085,380085,378840.105555556,378460.426695213,378840.105555556
279,372796.75,372916,377371.205555556,375824.587626336,377371.205555556
280,373428.777777778,373566,376953.065555556,373795.072469376,376953.065555556
281,377958.5,377552,374063.865555556,372344.544991771,374063.865555556
282,380496.3,380565,372740.315555556,371445.668960955,372740.315555556
284,365639,365639,371482.96,371116.235295557,371482.96
285,366179,366179,369768.36,371524.730051754,369768.36
286,367142,367142,368136.7,372201.626543244,368136.7
287,369385.5,369385.5,370194.8,373061.620277049,370194.8
288,372338,372338,373412.866666667,374019.406760192,373412.866666667
289,375929.5,375929.5,377691.133333333,374990.4006942,377691.133333333
