"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled"
62,11.7894736842105,13,3.7828947368421,9.16594092577633,3.7828947368421
63,9.5,9.5,6.66860902255639,5.14007089670854,6.66860902255639
64,9,10,10.578391631252,1.41636446673218,10.578391631252
65,8.42857142857143,8,13.2376397515528,5.28176736502046,13.2376397515528
66,14.1739130434783,15,18.568408982322,22.0347322104668,18.568408982322
67,25.0857142857143,26,52.268408982322,49.019739180845,52.268408982322
68,36.1538461538462,25,82.5826946966077,81.5927753436493,82.5826946966077
69,177.5,182.5,118.747912087912,115.109827766374,118.747912087912
70,160,160,149.330769230769,144.926883516512,149.330769230769
71,195,195,173.5,167.312542200623,173.5
73,178,178,162.7,190.378479961079,162.7
75,157,157,148.5,190.048326923698,148.5
80,123.5,123.5,123.9,130.527317938274,123.9
83,89,89,101.1,87.8327750961951,101.1
86,72,72,81.7,62.5861482522744,81.7
90,64,64,68.2,52.9132789743221,68.2
92,60,60,61.2,54.2859467723957,61.2
94,56,56,57.4,57.3849637098801,57.4
96,54,54,55.4,60.4005404228086,55.4
98,53,53,54.8,61.5228875472144,54.8
100,54,54,56,59.8838307331034,56
101,57,57,59,58.8756391938238,59
103,62,62,64,58.8818678007352,64
105,69,69,70.8,64.7848292548326,70.8
106,78,78,79.2,71.1475537745356,79.2
107,88,88,89,80.1965526933947,89
109,99,99,100.7,103.488020854093,100.7
110,111,111,113.5,115.9560062848,113.5
112,127.5,127.5,125.9,138.100270319099,125.9
113,142,142,137.3,146.002065111561,137.3
114,150,150,147.6,150.877157516232,147.6
116,156,156,155.1,153.665011897848,155.1
117,162.5,162.5,159.3,153.041429696751,159.3
119,165,165,161.5,151.418386065641,161.5
120,163,163,161.3,151.882580457585,161.3
121,161,161,158.2,154.173022869168,158.2
122,155,155,153.4,158.45029380404,153.4
123,147,147,148.2,162.589984136539,148.2
124,141,141,142.3,163.896437333675,142.3
125,137,137,136.5,159.673996862458,136.5
126,131.5,131.5,130.8,147.227006189898,130.8
127,126,126,124.8,125.523149708337,124.8
128,118.5,118.5,119.2,100.183475511441,119.2
129,111,111,114.8,78.4923726182106,114.8
130,109,109,113.6,67.7342300476434,113.6
131,109.5,109.5,117.1,75.1934368187386,117.1
132,120,119.5,130.5,106.347390464579,130.5
133,136,136,159.366666666667,159.445522574582,159.366666666667
134,178,176,206.626666666667,230.930273252252,206.626666666667
135,253.333333333333,253,280.493333333333,317.244082601088,280.493333333333
136,345.8,345,385.836190476191,414.829390724592,385.836190476191
137,489.333333333333,489.5,525.312380952381,520.128637726268,525.312380952381
138,662.714285714286,664,659.445714285714,628.954427919187,659.445714285714
139,875.380952380952,896,775.485714285714,734.600022454702,775.485714285714
140,924,924,862.519047619048,829.728846693738,862.519047619048
141,926,926,915.176190476191,907.004325997216,915.176190476191
142,924.5,924.5,925.3,959.089885726063,925.3
143,926,926,925.2,981.487432099821,925.2
144,926,926,924.466666666667,981.052794772531,924.466666666667
145,923.5,923,924.766666666667,967.480284256852,924.766666666667
146,922.333333333333,922,936.333333333333,950.464211065444,936.333333333333
147,926,926,946.133333333333,939.698885710967,946.133333333333
148,983.833333333333,937,965.619047619048,942.732988138209,965.619047619048
149,975,953,1002.75238095238,958.53267602047,1002.75238095238
150,1020.92857142857,1017.5,1041.61904761905,983.918476463178,1041.61904761905
152,1108,1108,1071.05238095238,1050.73052345165,1071.05238095238
155,1120.33333333333,1121,1103.45238095238,1143.3576157734,1103.45238095238
156,1131,1131,1128.46666666667,1159.49116079277,1128.46666666667
157,1137,1137,1137.66666666667,1164.309554786,1137.66666666667
158,1146,1146,1146,1161.40855823552,1146
159,1154,1154,1154.66666666667,1155.7389782992,1154.66666666667
160,1162,1162,1164.66666666667,1152.2516221349,1164.66666666667
161,1174.33333333333,1174,1175.66666666667,1155.89729690047,1175.66666666667
162,1187,1187,1188.36666666667,1170.162668741,1188.36666666667
163,1201,1201,1202.56666666667,1192.67783975043,1202.56666666667
164,1217.5,1217.5,1221.63846153846,1219.60877100994,1221.63846153846
165,1233,1233,1241.75610859728,1247.12142360069,1241.75610859728
166,1269.69230769231,1256,1263.15610859729,1271.38175860385,1263.15610859729
167,1287.58823529412,1292.5,1280.95610859729,1289.37552416185,1280.95610859729
168,1308,1308,1295.55610859728,1301.36761666206,1295.55610859728
172,1306.5,1306.5,1302.81764705882,1311.01292505745,1302.81764705882
173,1306,1306,1306.7,1309.26690399805,1306.7
174,1306,1306,1307.1,1308.02731057259,1307.1
175,1307,1307,1310.13333333333,1308.3788282297,1310.13333333333
176,1310,1310,1316.53333333333,1311.42035782598,1316.53333333333
177,1321.66666666667,1321,1327.8,1318.30766984993,1327.8
178,1338,1338,1347.06666666667,1330.21075219804,1347.06666666667
179,1362.33333333333,1362,1372.56666666667,1348.29959276678,1372.56666666667
181,1403.33333333333,1403,1403.31333333333,1407.71450015211,1403.31333333333
182,1437.5,1437.5,1446.85619047619,1450.73064457728,1446.85619047619
183,1475.4,1477,1499.38952380952,1500.71310970274,1499.38952380952
184,1555.71428571429,1511,1557.27437229437,1554.93249431866,1557.27437229437
185,1625,1547,1641.17437229437,1610.65939721525,1641.17437229437
186,1692.75757575758,1671,1719.09437229437,1665.16441718271,1719.09437229437
190,1857,1857,1782.35151515152,1840.58158908872,1782.35151515152
191,1865,1865,1833.55151515152,1871.10556184066,1833.55151515152
192,1872,1872,1875,1895.37684386887,1875
193,1881,1881,1887.8,1912.93515385637,1887.8
194,1900,1900,1901.2,1923.32021048622,1901.2
195,1921,1921,1915.8,1926.07173244144,1915.8
196,1932,1932,1932,1922.70707096929,1932
197,1945,1945,1950.13333333333,1922.65410757382,1950.13333333333
198,1962,1962,2010.78333333333,1937.31835632331,2010.78333333333
199,1990.66666666667,1991,2066.78333333333,1978.10533128602,2066.78333333333
200,2224.25,2030.5,2095.45,2056.4205465302,2095.45
201,2212,2064,2209.8,2178.60582901334,2209.8
202,2088.33333333333,2088,2308.2183908046,2330.74825724974,2308.2183908046
203,2533.75,2822.5,2435.82553366174,2493.87122264292,2435.82553366174
204,2482.75862068966,2461,2565.22553366174,2648.99811659638,2565.22553366174
205,2862.28571428571,2833,2740.15886699507,2777.15233051365,2740.15886699507
206,2859,2858,2831.40886699507,2863.99831275176,2831.40886699507
210,2963,2963,2935.65714285714,2929.28401787176,2935.65714285714
211,2990,2990,2966,2919.42955381726,2966
212,3004,3004,2999,2916.84419987838,2999
213,3014,3014,3012.2,2930.39768917986,3012.2
214,3024,3024,3020.33333333333,2968.95975484642,3020.33333333333
215,3029,3029,3026.73333333333,3039.50306615676,3026.73333333333
216,3030.66666666667,3031,3034.43333333333,3141.41203700548,3034.43333333333
217,3036,3036,3214.06666666667,3272.17401744119,3214.06666666667
218,3052.5,3052.5,3326.71666666667,3429.27635751248,3326.71666666667
219,3922.16666666667,3933.5,3586.64444444444,3610.20640726795,3586.64444444444
220,3592.25,3232.5,3832.04444444444,3811.07971060849,3832.04444444444
221,4330.30555555556,4543,4172.34444444444,4022.52458684424,4172.34444444444
222,4263,4263,4341.91111111111,4233.79754913763,4341.91111111111
223,4754,4754,4584.36111111111,4434.15511065111,4584.36111111111
226,4770,4770,4687.3,4862.30052213638,4687.3
227,4804.5,4804.5,4812.4,4917.36258781139,4812.4
228,4845,4845,4848,4942.59767245969,4848
229,4888.5,4888.5,4888.1,4962.06814318475,4888.1
230,4932,4932,4931.66666666667,4999.83636709002,4931.66666666667
231,4970.5,4970.5,5201.61666666667,5079.96471127897,5201.61666666667
232,5022.33333333333,5023,5420.55666666667,5226.51554285507,5420.55666666667
233,6194.75,6189.5,5687.78333333333,5454.03493720638,5687.78333333333
234,5983.2,5103,5852.26594202899,5739.00380285941,5852.26594202899
235,6268.13333333333,6744,5947.99927536232,6048.38675662527,5947.99927536232
236,5792.91304347826,5652,6194.64927536232,6349.14841531508,6194.64927536232
237,5501,5501,6486.60927536232,6608.25339573996,6486.60927536232
238,7428,7428,6724.58260869565,6801.27942086199,6724.58260869565
241,7443,7443,7063.5,7118.63766467529,7063.5
242,7458,7458,7468.1,7199.32798115217,7468.1
243,7487.5,7487.5,7493.5,7298.54250476029,7493.5
244,7524,7524,7526.8,7434.92448921668,7526.8
245,7555,7555,7573.5,7621.55130492394,7573.5
246,7609.5,7609.5,7879.425,7849.23678902711,7879.425
248,7691.5,7691.5,7963.825,8368.77557774371,7963.825
249,9017.125,9039,8359.86136363636,8631.1247900184,8359.86136363636
250,7946,7946,8766.98536363636,8875.52448601154,8766.98536363636
251,9535.18181818182,10325,9090.68536363636,9087.22261955377,9090.68536363636
252,9645.12,9961,9318.46036363636,9256.57709737948,9318.46036363636
253,9310,9310,9761.06036363636,9394.38563783825,9761.06036363636
255,10156,10156,9887.024,9638.9955916683,9887.024
256,10159,10159,9998.26666666667,9777.61234754626,9998.26666666667
257,10165,10165,10183.9666666667,9948.31385107062,10183.9666666667
259,10201.3333333333,10201,10205.8666666667,10421.3586894016,10205.8666666667
260,10238.5,10238.5,10238.5666666667,10716.683108793,10238.5666666667
261,10265.5,10265.5,10744.7166666667,11044.1759933359,10744.7166666667
262,10322.5,10322.5,11271.5954545455,11398.5626917808,11271.5954545455
263,12695.75,14172.5,11742.6954545455,11774.5685528782,11742.6954545455
264,12835.7272727273,13816,12595.5954545455,12166.4470934097,12595.5954545455
265,12594,12581,13448.4954545455,12566.5645022811,13448.4954545455
269,14530,14530,13844.3454545455,14087.3099599003,13844.3454545455
270,14587,14587,14228.8,14407.0370645223,14228.8
272,14675,14675,14678.8,14917.2006605844,14678.8
274,14758,14758,14752.2,15200.9391519822,14752.2
275,14844,14847,15044.8,15244.4855978597,15044.8
276,14897,14897,15206.1333333333,15248.213170896,15206.1333333333
277,16050,16606,15405.6333333333,15245.1205605423,15405.6333333333
278,15481.6666666667,14896,15489.1476190476,15268.2064562499,15489.1476190476
