"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled","CO2_prop"
46,119,119,117.991270260747,111.717604357273,117.991270260747,0.00208481717204985
50,148,148,111.116270260747,143.688150936404,111.116270260747,0.00196334108296149
53,173,173,112.267045454545,168.420490596704,112.267045454545,0.00198367441677422
57,192,192,112.425,196.54087812624,112.425,0.00198646535501939
59,204,204,114.6,204.989697356425,114.6,0.00202489597229462
61,208,208,114.65,207.605627685078,114.65,0.00202577943476071
63,202,202,114.15,202.819689703343,114.15,0.00201694481009974
65,189,189,111.95,189.062904002364,111.95,0.00197807246159147
67,170,170,108.05,165.638635051225,108.05,0.00190916238923589
68,147,147,102.4,151.11940410849,102.4,0.00180933113056692
70,120,120,95.05,118.757426700431,95.05,0.00167946214805064
72,93,93,86.1,85.018331811246,86.1,0.00152132236661925
73,67,67,75.9,68.7777040171031,75.9,0.00134109602353544
74,45,45,64.75,53.5018292079801,64.75,0.00114408389359578
76,25,25,53,26.3040245475539,53,0.000936470214062956
78,9,9,41.05,4.0174193767627,41.05,0.000725322684665742
79,-4,-4,29.4,-5.11945607031621,29.4,0.000519475930065111
80,-14,-14,18.4,-12.8308588493422,18.4,0.000325114187523743
81,-20,-20,8.35,-19.0508980284339,8.35,0.00014753823183822
82,-25,-25,-0.550000000000001,-23.7600176789137,-0.550000000000001,-9.71808712706842e-06
84,-28,-28,-8.15,-29.3549697337922,-8.15,-0.000144004381973832
85,-31,-31,-14.425,-30.6650403128738,-14.425,-0.000254878921469021
86,-31,-31,-19.5,-31.2663327095057,-19.5,-0.00034455036177788
87,-31,-31,-23.575,-31.3709660110293,-23.575,-0.000416552552764796
88,-31,-31,-26.775,-31.1796563159189,-26.775,-0.000473094150595012
89,-31,-31,-29.2,-30.8475077671805,-29.2,-0.000515942080200723
90,-31,-31,-31.075,-30.5182215189528,-31.075,-0.000549071922679365
91,-31,-31,-32.4875,-30.3354987253744,-32.4875,-0.000574029737346609
92,-31,-31,-33.6541666666667,-30.4430405405841,-33.6541666666667,-0.000594643861555542
93,-31,-31,-34.5791666666667,-30.9845481187207,-34.5791666666667,-0.000610987917178339
94,-32,-32,-35.3291666666667,-32.0502958773544,-35.3291666666667,-0.000624239854169796
95,-32.5,-32.5,-35.9791666666667,-33.5168512877814,-35.9791666666667,-0.000635724866229058
96,-34.5,-34.5,-36.6291666666667,-35.2073550847293,-36.6291666666667,-0.000647209878288321
97,-36.5,-36.5,-37.3291666666667,-36.9449480029259,-37.3291666666667,-0.000659578352813681
98,-39,-39,-38.1291666666667,-38.5527707770987,-38.1291666666667,-0.000673713752271235
99,-39.5,-39.5,-38.9291666666667,-39.8908960025793,-38.9291666666667,-0.000687849151728789
100,-41.5,-41.5,-39.7291666666667,-40.967123717114,-39.7291666666667,-0.000701984551186343
101,-42.25,-42,-40.5291666666667,-41.8261858190529,-40.5291666666667,-0.000716119950643897
102,-43.3333333333333,-43,-41.2291666666667,-42.512814206746,-41.2291666666667,-0.000728488425169257
103,-43.5,-43.5,-41.9291666666667,-43.0717407785434,-41.9291666666667,-0.000740856899694617
104,-43,-43,-42.5291666666667,-43.5476974327952,-42.5291666666667,-0.000751458449287782
105,-44,-44,-43.0291666666667,-43.9781420358727,-43.0291666666667,-0.000760293073948753
109,-44,-44,-43.3541666666667,-45.3392943857756,-43.3541666666667,-0.000766035579978385
111,-45,-45,-43.5291666666667,-45.8187228139666,-43.5291666666667,-0.000769127698609725
112,-47,-47,-43.5291666666667,-46.0119570640428,-43.5291666666667,-0.000769127698609725
114,-47,-47,-43.5041666666667,-46.310904168544,-43.5041666666667,-0.000768685967376676
115,-47,-47,-43.4291666666667,-46.4073288457478,-43.4291666666667,-0.00076736077367753
116,-47,-47,-43.4166666666667,-46.4086987339514,-43.4166666666667,-0.000767139908061006
117,-45,-45,-43.4625,-46.2473199985763,-43.4625,-0.000767949748654928
119,-45,-45,-43.6875,-45.1655413187754,-43.6875,-0.000771925329752366
120,-44,-44,-43.9375,-44.1097537051922,-43.9375,-0.000776342642082851
121,-42.5,-42.5,-44.0708333333333,-42.6817686327646,-44.0708333333333,-0.000778698541992444
122,-41,-41,-44.0458333333333,-41.1205247821574,-44.0458333333333,-0.000778256810759395
123,-40,-40,-43.8708333333333,-39.7262873370848,-43.8708333333333,-0.000775164692128055
124,-39,-39,-43.5208333333333,-38.7993214812605,-43.5208333333333,-0.000768980454865375
125,-39,-39,-43.1136904761905,-38.6398923983984,-43.1136904761905,-0.00076178654621287
126,-40,-40,-42.6470238095238,-39.5482652722125,-42.6470238095238,-0.000753540896529297
127,-42,-42,-42.0695238095238,-41.651988837851,-42.0695238095238,-0.000743336905045875
128,-44.25,-44,-41.6195238095238,-44.3877460362002,-41.6195238095238,-0.000735385742851001
129,-48,-48,-41.0195238095238,-47.0195033595808,-41.0195238095238,-0.000724784193257835
130,-48,-48,-40.3695238095238,-48.8112273003134,-40.3695238095238,-0.000713299181198573
131,-46.6666666666667,-47,-39.6945238095238,-49.0268843507189,-39.6945238095238,-0.000701372437906261
132,-43.5,-43.5,-39.0445238095238,-47.1819503534035,-39.0445238095238,-0.000689887425846999
133,-41.5,-41.5,-38.3945238095238,-43.7979385521163,-38.3945238095238,-0.000678402413787736
134,-40,-40,-37.7445238095238,-39.6478715408919,-37.7445238095238,-0.000666917401728473
135,-38.8571428571429,-40,-37.0445238095238,-35.504771913765,-37.0445238095238,-0.000654548927203113
136,-37.6666666666667,-37,-36.2945238095238,-32.1416622647703,-36.2945238095238,-0.000641296990211657
137,-35.45,-35,-35.4945238095238,-30.3315651879425,-35.4945238095238,-0.000627161590754102
138,-36,-36,-34.5820238095238,-30.6100191624643,-34.5820238095238,-0.00061103840074783
139,-33,-33,-33.4820238095238,-32.5626262081112,-33.4820238095238,-0.000591602226493693
140,-31,-31,-32.3820238095238,-35.5375042298066,-32.3820238095238,-0.000572166052239556
143,-29,-29,-31.3486904761905,-44.0769432004193,-31.3486904761905,-0.000553907827940216
145,-28,-28,-30.4736904761905,-42.9300856513351,-30.4736904761905,-0.000538447234783516
148,-27,-27,-29.6486904761905,-25.1951576201688,-29.6486904761905,-0.000523870104092913
149,-26,-26,-28.8486904761905,-18.0158113724691,-28.8486904761905,-0.000509734704635359
150,-25,-25,-28.0308333333333,-11.8134489173677,-28.0308333333333,-0.000495283782868485
151,-25,-25,-27.0725,-7.55457160161641,-27.0725,-0.00047835075226829
153,-26,-26,-26.15,-8.73327777517298,-26.15,-0.000462050869768798
154,-26,-26,-25.2,-16.1038639579851,-25.2,-0.000445265082912953
155,-26,-26,-13.60625,-28.4649169944348,-13.60625,-0.000240412223586681
156,-26,-26,-1.36458333333333,-42.6878198676704,-1.36458333333333,-2.41111631372341e-05
157,-26,-26,9.39970238095238,-54.8249318881183,9.39970238095238,0.000166085684921105
158,-26,-26,19.6497023809524,-60.9286123662059,19.6497023809524,0.000347195490471016
159,-25,-25,27.0934523809524,-57.0512206123598,27.0934523809524,0.000478720965111226
160,-24,-24,33.7809523809524,-40.5908815865941,33.7809523809524,0.000596884069951717
161,-22.5,-22.5,39.0309523809524,-14.3287828472713,39.0309523809524,0.000689647628891915
163,-18.5,-18.5,43.7609523809524,51.0928809402448,43.7609523809524,0.000773223178184704
164,-17,-17,47.5942857142857,81.9985395725386,47.5942857142857,0.000840955300585483
165,-17,-17,67.3442857142857,106.198145086591,67.3442857142857,0.00118992297469385
166,198.875,316,87.2942857142857,119.56474427445,87.2942857142857,0.0015424244986666
167,213.833333333333,272,107.494285714286,119.797177518231,107.494285714286,0.00189934333496984
168,186.285714285714,236,127.794285714286,111.897459560301,127.794285714286,0.00225802909620528
169,177,221,148.294285714286,102.69339873309,148.294285714286,0.0026202487073051
170,121.875,188.5,168.744285714286,99.012803369029,168.744285714286,0.00298158485593882
171,107.75,160.5,189.194285714286,107.683481800549,189.194285714286,0.00334292100457255
172,80,99,209.619285714286,133.391712523777,209.619285714286,0.00370381542197323
173,69.6,61,229.944285714286,172.257654689631,229.944285714286,0.00406294291444171
174,50.6666666666667,34,250.394285714286,218.259937612723,250.394285714286,0.00442427906307543
175,369,369,271.219285714286,265.377190607669,271.219285714286,0.00479224118020489
176,373,373,281.650535714286,307.58804298908,281.650535714286,0.0049765535371944
177,378,378,291.658869047619,340.152020976862,291.658869047619,0.00515339327415818
