"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled"
62,-2.68421052631579,-3,-10.975023923445,2.14065315025142,-10.975023923445
63,-7.1,-8.5,-3.32502392344498,-8.12105277306544,-3.32502392344498
64,-9,-9,2.13663615560641,-16.6957175544444,2.13663615560641
65,16.25,-6.5,5.64014492753623,-12.4270533037215,5.64014492753623
66,13.2173913043478,1,12.0857859531773,4.19983148706552,12.0857859531773
67,14.8333333333333,10.5,52.0857859531773,29.7894792303284,52.0857859531773
68,25.1282051282051,16,85.2357859531773,60.9464323384787,85.2357859531773
72,191,191,111.592307692308,173.338146668189,111.592307692308
75,182,182,137.525641025641,173.651578018146,137.525641025641
76,145,145,152.7,159.917662349172,152.7
78,144.5,144.5,130.5,123.239977724833,130.5
79,101,101,106.9,104.145454066817,106.9
80,80,80,89.3,87.113306376469,89.3
81,64,64,70.6,73.6370196647699,70.6
83,57,57,59.6,55.9966293804287,59.6
84,51,51,52.2,50.5081194528003,52.2
85,46,46,47.8,46.3577954315425,47.8
86,43,43,45.2,43.0358082203633,45.2
88,42,42,45,39.4274672234907,45
90,44,44,47.2,41.5461128586886,47.2
91,50,50,51.8,45.3828589375974,51.8
93,57,57,59.6,59.8708041666016,59.6
94,66,66,70.2,70.7812681205931,70.2
95,81,81,81.6,83.1675396976981,81.6
96,97,97,93.4,95.8140733144455,93.4
97,107,107,104.8,107.505323387364,104.8
98,116,116,114.4,117.025744332984,114.4
99,123,123,122,123.468123560201,122
100,129,129,126.5,127.158580447393,126.5
101,135,135,128.566666666667,128.731567365302,128.566666666667
102,129.5,130,126.766666666667,128.821536684672,126.766666666667
104,126.333333333333,129,123.166666666667,126.428046909882,123.166666666667
106,114,114,117.566666666667,121.7428045845,117.566666666667
110,111,111,112.666666666667,109.907095724291,112.666666666667
112,107,107,108,104.961645910632,108
113,105,105,105.4,103.214369565669,105.4
114,103,103,102.9,102.070757783327,102.9
115,101,101,100.5,101.350028081744,100.5
117,98.5,98.5,97.7,100.199208171855,97.7
119,95,95,94.9,97.8058963380068,94.9
121,91,91,91.6,92.2140790822022,91.6
122,89,89,88.1,87.7911123560742,88.1
123,84.5,84.5,84.9,82.9368281314981,84.9
124,81,81,81.9,78.5085386400144,81.9
125,79,79,78.5,75.3635561131628,78.5
126,76,76,75.3,74.0476434334827,75.3
127,72,72,72.4,73.860366087509,72.4
128,68.5,68.5,69.4,73.7897402127757,69.4
