"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled"
63,-2.73333333333333,-3,3.90258636788049,-12.225665419495,3.90258636788049
64,12.6470588235294,2,8.77925303454715,1.80133435504044,8.77925303454715
65,3.11111111111111,2,23.0592530345472,28.2038628154922,23.0592530345472
66,31.3,17,68.0059197012138,63.1820912246093,68.0059197012138
67,70.9714285714286,65,111.276507936508,103.20485264889,111.276507936508
68,222,222,156.654285714286,144.80814560577,156.654285714286
70,229,229,195.994285714286,218.90032018707,195.994285714286
73,230,230,222.6,255.292531489403,222.6
74,228,228,211.6,235.37017509882,211.6
75,204,204,193.8,203.191495407659,193.8
76,167,167,165.2,165.703646478128,165.2
77,140,140,137.6,129.853782372435,137.6
78,87,87,108.6,101.2551055664,108.6
79,90,90,86.2,80.1850121902787,86.2
81,59,59,68.8,56.4043539032468,68.8
84,55,55,61.6,50.783855793729,61.6
86,53,53,53.4,54.7440362798514,53.4
91,51,51,51.4,54.8392963884392,51.4
94,49,49,50.2,50.9000457988786,50.2
96,49,49,50,48.8811182660829,50
98,49,49,51.2,48.6205313759864,51.2
100,52,52,54,51.2090414324491,54
101,57,57,58.6,53.8831025078941,58.6
103,63,63,65.2,62.02429308367,65.2
105,72,72,73.6,73.6198723710799,73.6
106,82,82,83.4,80.6119193360673,83.4
108,94,94,94.4,96.6405344116538,94.4
109,106,106,107.4,105.401331432824,107.4
111,118,118,121.6,123.682190279036,121.6
112,137,137,135,132.908766438925,135
114,153,153,147.8,150.800498069386,147.8
115,161,161,159,159.093271041099,159
117,170,170,166.4,171.903186793078,166.4
118,174,174,170.2,175.180081903719,170.2
119,174,174,171.3,175.544770057712,171.3
120,172,172,168.7,172.377127420243,168.7
121,166.5,166.5,162.766666666667,165.41858234973,162.766666666667
122,157,157,154.366666666667,155.8567719775,154.366666666667
123,144.333333333333,144,144.966666666667,145.240885628111,144.966666666667
125,132,132,135.466666666667,127.043642296079,135.466666666667
126,125,125,126.266666666667,122.059419586532,126.266666666667
127,119,119,118.5,119.210411941949,118.5
128,111,111,112.6,117.038342430786,112.6
129,105.5,105.5,107.9,114.084934121497,107.9
130,102.5,102.5,104,108.891910082537,104
131,101.5,101.5,101.4,100.666853065475,101.4
132,99.5,99.5,98.82,91.2807845543404,98.82
133,98,98,94.9866666666667,83.2705857162756,94.9866666666667
134,92.6,93,90.5866666666667,79.1731377184239,90.5866666666667
135,83.3333333333333,83,86.7866666666667,80.8906142580727,86.7866666666667
136,79.5,79.5,84.22,87.7863591530865,84.22
137,80.5,80.5,88.39,98.5890087514742,88.39
138,85.1666666666667,85.5,104.943333333333,112.027199401244,104.943333333333
139,113.45,107,129.11,126.829567450406,129.11
140,166.1,167,155.81,142.043403240104,155.81
142,200.333333333333,200,183.676666666667,175.311757289012,183.676666666667
143,214,214,209.186666666667,194.647396161877,209.186666666667
144,224.5,224.5,227.766666666667,216.638090009452,227.766666666667
145,241,241,242.433333333333,241.924399138567,242.433333333333
146,259,259,258.783333333333,270.809441668148,258.783333333333
147,273.666666666667,274,288.169047619048,302.246566965533,288.169047619048
148,295.75,295.5,323.982380952381,334.851682210158,323.982380952381
149,371.428571428571,339,371.182380952381,367.24069458146,371.182380952381
150,420.066666666667,422,417.249047619048,398.213133137758,417.249047619048
152,495,495,460.499047619048,454.227976979581,460.499047619048
154,504,504,491.313333333333,500.453699478515,491.313333333333
155,512,512,514.9,519.189736356202,514.9
156,525.5,525.5,525.1,534.63140825633,525.1
157,538,538,536.4,546.654837023182,536.4
158,546,546,546.2,555.770078067281,546.2
159,560.5,560.5,556.766666666667,562.645670190713,556.766666666667
160,561,561,566.766666666667,567.950152195564,566.766666666667
161,578.333333333333,579,576.266666666667,572.352062883918,576.266666666667
162,588,588,584.166666666667,576.723143712479,584.166666666667
163,593.5,593.5,593.366666666667,582.747946756423,593.366666666667
164,600,600,600.566666666667,592.314226745544,600.566666666667
165,607,607,609.538095238095,607.309738409637,609.538095238095
166,614.333333333333,613.5,629.838095238095,628.808020287495,629.838095238095
167,632.857142857143,632,652.006095238095,654.62574615391,652.006095238095
168,695,670,678.106095238095,681.765373592671,678.106095238095
169,710.84,716,703.439428571429,707.229360187568,703.439428571429
170,737.5,737.5,724.268,728.020163522391,724.268
