"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled"
63,-3,-3.5,6.16571428571429,-3.4955100478192,6.16571428571429
64,2.14285714285714,2,7.09571428571429,-2.20549085528695,7.09571428571429
65,22.2857142857143,6,9.97719576719577,4.8466994215224,9.97719576719577
66,13.05,6,16.3076305498045,18.1650875740434,16.3076305498045
67,15.4074074074074,9,56.079059121233,37.8429140584177,56.079059121233
68,28.6521739130435,22,92.4219162640902,62.3302739896163,92.4219162640902
71,201,201,127.31191626409,145.042642260937,127.31191626409
73,204,204,154.030434782609,188.285882636701,154.030434782609
75,187.5,187.5,186.7,203.710667512035,186.7
77,149,149,169.1,181.391171553243,169.1
78,192,192,141.3,159.815146853567,141.3
79,113,113,114.9,134.440387142159,114.9
81,65,65,94.9,81.7310110894993,94.9
82,55.5,55.5,65.7,59.1145689509271,65.7
83,49,49,52.1,41.6469992946571,52.1
84,46,46,48.3,29.2436846654185,48.3
90,45,45,46.8,29.065083928429,46.8
92,46,46,47.6,43.5273446134617,47.6
94,48,48,50.6,57.6057242092676,50.6
95,53,53,56,63.0675626822277,56
97,61,61,63.6,69.8860880968251,63.6
98,72,72,73.8,72.7310298636274,73.8
100,84,84,86.2,81.6117657515049,86.2
101,99,99,100.2,89.3753575666862,100.2
102,115,115,114.8,100.5062970921,114.8
104,131,131,129.6,132.618171334749,129.6
105,145,145,143.6,150.228894171344,143.6
106,158,158,156.4,166.320362620434,156.4
107,169,169,167,178.975743033757,167
108,179,179,175.4,186.278201763048,175.4
109,184,184,181.4,187.019903866368,181.4
110,187,187,184.5,182.829009227064,184.5
111,188,188,184.5,176.042676434807,184.5
112,184.5,184.5,182.5,168.998064079266,182.5
113,179,179,178.9,164.032330750112,178.9
114,174,174,174.1,163.482635037015,174.1
115,169,169,167.733333333333,168.517505376754,167.733333333333
116,164,164,160.333333333333,175.630949594549,160.333333333333
117,152.666666666667,153,152.233333333333,180.148345362725,152.233333333333
118,142,142,143.233333333333,177.395070353609,143.233333333333
119,133.5,133.5,134.033333333333,162.69650223953,134.033333333333
120,124,124,125.9,133.711981405254,125.9
121,118,118,117.94,97.4366990853059,117.94
122,112,112,110.24,63.1998092266504,110.24
123,102.2,102,103.84,40.3304657762524,103.84
124,95,95,98.1066666666667,38.1578226810766,98.1066666666667
125,92,92,93.3066666666667,62.4659054486832,93.3066666666667
126,89.3333333333333,89,91.9916666666667,104.858225829014,91.9916666666667
127,88,88,97.1916666666667,153.393167132605,97.1916666666667
128,95.625,95,108.391666666667,196.129112669994,108.391666666667
129,121,120,125.725,221.124445751719,125.725
130,148,148,152.125,216.437549688315,152.125
131,176,176,179.771428571429,176.490097144155,179.771428571429
133,220,220,224.871428571429,76.6761322862636,224.871428571429
134,233.857142857143,238,277.471428571429,69.2858588396331,277.471428571429
135,346.5,346.5,339.871428571429,125.224217292613,339.871428571429
136,411,411,416.271428571429,270.729327078755,416.271428571429
137,488,488,546.957142857143,521.660880317058,546.957142857143
138,602,601,735.217142857143,852.364859868325,735.217142857143
139,887.285714285714,884,1056.48380952381,1226.8088212788,1056.48380952381
140,1287.8,1286,1400.52380952381,1608.96032009475,1400.52380952381
141,2017.33333333333,1832,1854.12380952381,1962.78691186241,1854.12380952381
142,2208.2,2204,2275.66666666667,2259.77364928126,2275.66666666667
143,2870,2870,2642.90666666667,2501.47557366362,2642.90666666667
144,2995,2995,2904.04,2696.96522347505,2904.04
148,3124,3124,3168.2,3198.25184632246,3168.2
150,3323,3323,3328,3407.50751042489,3328
151,3529,3529,3491,3533.5423152752,3491
152,3669,3669,3656.4,3682.76894515056,3656.4
153,3810,3810,3823.8,3848.37889787433,3823.8
154,3951,3951,3991.2,4020.38746314148,3991.2
155,4160,4160,4157.2,4188.80993064696,4157.2
156,4366,4366,4321,4343.66159008572,4321
157,4499,4499,4494,4479.25917827001,4494
158,4629,4629,4661.2,4607.12522048133,4661.2
159,4816,4816,4832,4743.08368911847,4832
160,4996,4996,5029.2,4902.95855658022,5029.2
161,5220,5221,5239.9,5102.57379526539,5239.9
162,5485,5485,5451.2,5366.37121046884,5451.2
163,5682.5,5682.5,5671.53333333333,5753.26393906979,5671.53333333333
164,5872.5,5872.5,6447.38333333333,6330.7829508435,6447.38333333333
165,6097.66666666667,6098,7835.58333333333,7166.45921556527,7835.58333333333
166,9099.25,6570.5,8815.31060606061,8327.82370301039,8815.31060606061
167,12426,14372,9858.20346320346,9882.40738295412,9858.20346320346
168,10581.1363636364,11395.5,12213.8701298701,11845.8749476921,12213.8701298701
169,11086.9642857143,10098.5,14247.4201298701,14026.4259796012,14247.4201298701
170,17876,17876,15648.4201298701,16180.3937835788,15648.4201298701
171,19267,19267,17448.1928571429,18064.1116645221,17448.1928571429
172,19431,19431,19174.6,19433.9129273283,19174.6
173,19580,19580,19569.8,20125.3436541311,19569.8
174,19719,19719,19753.4,20290.8010360092,19753.4
175,19852,19852,19980.3333333333,20161.8950412776,19980.3333333333
176,20185,20185,20211.1333333333,19970.2356382514,20211.1333333333
177,20565.6666666667,20561,20513.9333333333,19947.4327952457,20513.9333333333
178,20734,20734,20858.1333333333,20269.4532984183,20858.1333333333
179,21233,21233,21218.0666666667,20889.6912052979,21218.0666666667
180,21573,21573,21650.2333333333,21705.8973912562,21650.2333333333
181,21984.6666666667,22069,22265.2047619048,22615.8227316648,22265.2047619048
182,22726.5,22726.5,23023.4247619048,23517.2181018951,23023.4247619048
183,23808.8571428571,23641,23680.12,24307.8343773188,23680.12
184,25024.1,24804.5,24645.5866666667,24909.9732427602,24645.5866666667
185,24856.4761904762,24402,25493.4866666667,25344.1396208545,25493.4866666667
186,26812,26812,26158.1152380952,25655.3892436895,26158.1152380952
187,26966,26966,26615.2952380952,25888.7778433533,26615.2952380952
191,27132,27132,27144,26944.8366520538,27144
192,27310,27310,27343.5,27441.1385764914,27343.5
193,27500,27500,27578.9,27988.2086261539,27578.9
194,27809.5,27809.5,27827.5,28489.3972889982,27827.5
195,28143,28143,28087.7,28848.0550529809,28087.7
196,28375,28375,28357.1,28967.5324060587,28357.1
197,28611,28611,28653.9333333333,28798.4222062899,28653.9333333333
198,28847,28847,28963.1333333333,28480.286792139,28963.1333333333
199,29293.6666666667,29300,29271.3333333333,28199.9308721719,29271.3333333333
200,29689,29689,29572.8333333333,28144.1591549548,29572.8333333333
201,29916,29916,29844.1333333333,28499.7763490536,29844.1333333333
202,30118.5,30118.5,30025.0666666667,29453.5871630343,30025.0666666667
203,30203.5,30203.5,31476.2761904762,31123.7740893382,31476.2761904762
204,30198.3333333333,30198,32829.1809523809,33354.0307559071,32829.1809523809
205,36945.0476190476,38928,34344.7967418546,35919.4285745578,34344.7967418546
206,36680.5238095238,36544,37286.830075188,38595.0389571072,37286.830075188
207,37696.5789473684,35391,41260.5634085213,41155.9333153724,41260.5634085213
208,44913.6666666667,44241,44017.1538847118,43422.1761186528,44017.1538847118
209,50067,50067,46961.649122807,45393.8040661778,46961.649122807
212,50728,50728,49842.9333333333,49991.2963413406,49842.9333333333
213,51403,51403,51426.8,51234.7624329642,51426.8
214,52103,52103,52299.9333333333,52408.7624523924,52299.9333333333
215,52833,52833,53490.4333333333,53569.8490343912,53490.4333333333
216,54432.6666666667,54416,54953.5333333333,54820.6663259426,54953.5333333333
218,56680.5,56680.5,56605.1333333333,58048.161137847,56605.1333333333
219,58718.5,58718.5,60557.2761904762,60253.1727082718,60557.2761904762
220,60361,60361,64024.6428571429,63004.583088393,64024.6428571429
221,72593.7142857143,65066,66985.7428571429,66416.5593032464,66985.7428571429
222,71769.5,68064,71540.2178571429,70499.8409244765,71540.2178571429
