"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled"
63,3.1875,-7,0.683344155844156,-15.6353314201821,0.683344155844156
64,5.45,-4,6.61694099378882,2.21536987205654,6.61694099378882
65,-0.571428571428571,-1,17.4383695652174,30.3921266398405,17.4383695652174
66,26.304347826087,24,62.4008695652174,63.2000620549443,62.4008695652174
67,52.8214285714286,48,108.910869565217,98.0601697696491,108.910869565217
68,228,228,157.225155279503,133.172411056363,157.225155279503
71,238,238,199.064285714286,222.021549072642,199.064285714286
73,241,241,227.5,249.514265604356,227.5
75,235.5,235.5,212.9,239.809728896497,212.9
76,195,195,190.7,224.001106660643,190.7
79,155,155,162.5,156.105637105645,162.5
81,127,127,131.2,113.247165596335,131.2
83,100,100,106,86.7687890620484,106
84,79,79,88,78.973415221659,88
85,69,69,74.8,73.6926642987345,74.8
87,65,65,66.2,67.3312711041663,66.2
88,61,61,61,64.5787487819657,61
90,57,57,57.4,57.5437424911577,57.4
91,53,53,54.4,54.0552896254944,54.4
92,51,51,52.5,51.265006842439,52.5
93,50,50,52.9,49.6819965640771,52.9
95,51.5,51.5,55.7,52.1742032097764,55.7
96,59,59,60.7,57.1106759853956,60.7
97,67,67,67.9,64.349136998371,67.9
98,76,76,79.0666666666667,73.4569947151084,79.0666666666667
100,86,86,92.4666666666667,95.5505341254925,92.4666666666667
101,107.333333333333,108,106.466666666667,107.586042635979,106.466666666667
102,126,126,119.866666666667,119.250641020021,119.866666666667
104,137,137,131.2,137.696978491071,131.2
105,143,143,137.133333333333,142.593653119231,137.133333333333
106,142.666666666667,143,138.333333333333,143.349288703248,138.333333333333
107,137,137,135.933333333333,139.446040771574,135.933333333333
108,132,132,130.233333333333,132.064815884161,130.233333333333
109,125,125,122.7,122.811208358841,122.7
110,114.5,114.5,114.9,113.290812513442,114.9
111,105,105,105.55,104.828919071743,105.55
112,98,98,99.35,97.6296043813239,99.35
113,85.25,85,92.25,91.6166411957119,92.25
114,94,94,86.85,86.7138022684354,86.85
115,79,79,82.65,82.8448603530229,82.65
117,78,78,81.2,77.8627386643823,81.2
121,77,77,78.2,75.9667828042216,78.2
123,78,78,78.2,77.3410737989083,78.2
124,79,79,78.6,78.2343139075512,78.6
126,79,79,79.2,79.8980224618758,79.2
127,80,80,79.6,80.4613107386424,79.6
128,80,80,79.6,80.7391877673106,79.6
129,80,80,79.4,80.6654864826226,79.4
131,79,79,78.5,79.1986807121466,78.5
132,78,78,76.9,77.7143438793046,76.9
134,75.5,75.5,74.9,73.8172062282786,74.9
135,72,72,72.6,71.7652926811183,72.6
136,70,70,70.3,69.8850741668757,70.3
138,67.5,67.5,68.4,67.3614967791907,68.4
139,66.5,66.5,67.2,66.9910694146851,67.2
140,66,66,66.4,66.9863770526229,66.4
141,66,66,66.1,67.0001287559944,66.1
142,66,66,66.1,66.6850335877898,66.1
143,66,66,66.3666666666667,65.907660953351,66.3666666666667
144,66.5,66.5,67.2666666666667,65.3900216274255,67.2666666666667
145,67.3333333333333,67,69.2666666666667,66.0679867271123,69.2666666666667
146,70.5,70.5,72.9666666666667,68.8774273695107,72.9666666666667
147,76,76,78.6666666666667,74.7542146717197,78.6666666666667
148,84.5,84.5,89.9333333333333,84.7314145447782,89.9333333333333
149,95,95,107.7,100.230872075485,107.7
150,123.666666666667,123.5,130.94,122.771627144578,130.94
151,159.333333333333,159,160.34,153.872719632796,160.34
152,192.2,192,200.117777777778,195.053189420878,200.117777777778
153,231.5,231.5,262.166262626263,248.251913555242,262.166262626263
154,293.888888888889,293,344.966262626263,317.087117745039,344.966262626263
155,433.909090909091,427,441.126262626263,405.596864865095,441.126262626263
156,573.333333333333,587,556.176262626263,517.819217790239,556.176262626263
157,673,672,668.598484848485,654.596039081392,668.598484848485
158,806.75,754,788.776666666667,803.984390043837,788.776666666667
159,856,856,902.96,950.84513166894,902.96
160,1034.8,1007,1025.36,1080.03912494808,1025.36
161,1144.25,1126.5,1128.21,1176.42723087262,1128.21
162,1285,1285,1232.11,1231.98247145135,1232.11
163,1321,1321,1311.15,1267.12651276272,1311.15
164,1375.5,1375.5,1386.5,1309.39318190259,1386.5
165,1430,1430,1463.5,1386.31630596683,1463.5
166,1521,1521,1563.55,1518.16141171205,1563.55
167,1670,1670,1675.55,1696.12082453791,1675.55
168,1821.25,1821,1880.45,1904.11856950479,1880.45
169,1935.5,1935.5,2059.6,2126.0786716731,2059.6
170,2454.5,2131,2294.31764705882,2345.92515610324,2294.31764705882
171,2416.75,2344,2555.26764705882,2549.79792279933,2555.26764705882
172,2843.58823529412,2875,2795.96764705882,2732.70037154027,2795.96764705882
173,3126,3126,2936.96764705882,2891.85177704873,2936.96764705882
176,3139,3139,3090.41764705882,3198.99248140553,3090.41764705882
177,3159.5,3159.5,3161.9,3235.3324612104,3161.9
178,3184,3184,3180.5,3237.51387352446,3180.5
179,3201,3201,3200.5,3220.23650371276,3200.5
180,3219,3219,3220.6,3201.69623926881,3220.6
181,3239,3239,3245.06666666667,3200.08896768616,3245.06666666667
182,3260,3260,3282,3229.81659397932,3282
183,3306.33333333333,3306,3326.8,3290.1050932467,3326.8
