"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled"
67,13,2.5,52.3211805555555,49.3736134799573,52.3211805555555
68,115,115,57.9878472222222,88.265425937405,57.9878472222222
69,173,173,61.6489583333333,122.961083501501,61.6489583333333
70,155.4,157,64.485625,148.191293579481,64.485625
71,174.5,174.5,67.4738602941176,163.866555319484,67.4738602941176
72,115,115,70.5522916666667,171.192315804876,70.5522916666667
79,91,91,73.5922916666667,89.9441590761619,73.5922916666667
81,67,67,75.06,60.2953724711196,75.06
83,48,48,75.46,43.0009350778757,75.46
84,38,38,69.1933333333333,38.3019213875541,69.1933333333333
86,34,34,59.26,33.581805294995,59.26
88,30,30,50.8333333333333,30.8075726205261,50.8333333333333
89,27,27,41.5333333333333,28.7190684732489,41.5333333333333
90,24,24,36.6666666666667,26.2548675683748,36.6666666666667
91,21,21,33.8666666666667,23.8402017835908,33.8666666666667
93,19,19,33.1666666666667,20.8604030850417,33.1666666666667
94,21,21,34.9,21.1457339266508,34.9
95,24,24,37.5,23.0810974324842,37.5
96,29,29,41.1666666666667,26.5895756471573,41.1666666666667
97,35,35,45.4,31.4938206486712,45.4
98,42,42,49.8666666666667,37.6164845150271,49.8666666666667
100,49,49,54.5333333333333,52.8076771542692,54.5333333333333
101,56.5,56.5,59.2,61.4377327727051,59.2
102,74,74,63.6666666666667,70.0741517052722,63.6666666666667
104,77,77,67.6333333333333,84.6460323739428,67.6333333333333
105,89,89,71.05,89.2214705406178,71.05
106,93.5,93.5,74.1611111111111,91.3006049229342,74.1611111111111
107,94,94,76.9388888888889,91.2903239380122,76.9388888888889
108,94,94,79.3388888888889,89.8148960433395,79.3388888888889
109,91,91,81.2055555555556,87.4985896964037,81.2055555555556
110,86,86,82.5055555555556,84.9656733546922,82.5055555555556
111,80.5,80.5,82.5722222222222,82.7254442529117,82.5722222222222
112,75.25,75,82.2722222222222,80.8273147346459,82.2722222222222
113,75.6666666666667,75,81.0722222222222,79.2057259206976,81.0722222222222
114,76.6666666666667,77,79.4388888888889,77.7951189318696,79.4388888888889
115,78,78,77.7722222222222,76.5299348889647,77.7722222222222
116,77,77,76.0388888888889,75.3602770309919,76.0388888888889
120,76,76,74.4388888888889,72.0485628671571,74.4388888888889
122,75,75,73.2388888888889,71.6106497666315,73.2388888888889
123,72.5,72.5,72.4722222222222,71.7956276168562,72.4722222222222
125,71,71,72.0555555555556,72.738198143794,72.0555555555556
126,69,69,71.6111111111111,73.0337991841437,71.6111111111111
127,69,69,71.1,72.8728393911149,71.1
128,68,68,70.5,72.0007402512329,70.5
129,67,67,69.9666666666667,70.1629232510233,69.9666666666667
130,68,68,69.5,67.2846908584134,69.5
131,69,69,69.22,64.0108694669372,69.22
132,69,69,69.52,61.1661664515309,69.52
134,69,69,70.2866666666667,60.0629450486718,70.2866666666667
135,69,69,71.9977777777778,63.4538414110908,71.9977777777778
136,69,69,74.7644444444445,70.023718145048,74.7644444444445
137,69,69,78.92,77.8524451041018,78.92
138,69,69,86.245,84.4709246375349,86.245
139,70.8,70,97.395,87.4100590946302,97.395
140,77,77,118.413181818182,84.2007508246704,118.413181818182
141,82.5,82.5,147.164292929293,74.7998458618321,147.164292929293
142,94.6666666666667,95,183.897626262626,68.8679649798656,183.897626262626
143,110.5,110.5,229.097626262626,78.4916726374155,229.097626262626
144,130.333333333333,130,275.83095959596,115.757533293126,275.83095959596
145,176.875,176.5,324.93095959596,188.521095807772,324.93095959596
146,235.25,235,376.53095959596,287.713846650654,376.53095959596
147,384.272727272727,329,429.677626262626,400.036256693204,429.677626262626
148,500.266666666667,481,484.21095959596,512.188796806853,484.21095959596
149,620,620,540.177626262626,610.871937863034,540.177626262626
150,747,747,597.066515151515,685.788635366997,597.066515151515
153,770,770,655.733181818182,797.078945506103,655.733181818182
155,805.5,805.5,717.177626262626,823.876453698295,717.177626262626
156,843,843,778.852626262626,837.20253424726,778.852626262626
157,868,868,838.969292929293,856.767337330596,838.969292929293
158,895,895,892.784444444444,885.818004895798,892.784444444444
159,922,922,946.7,921.728731982967,946.7
160,948,948,1002.32222222222,960.405476905357,1002.32222222222
161,990.5,990.5,1131.58888888889,997.754197976219,1131.58888888889
162,1052,1052,1191.5,1032.65617333827,1191.5
