date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
1:00:01 AM,62,-19.2933333333333,-8.55,-7,-19.2933333333333,-9.60797690315817
1:00:04 AM,63,-16.2133333333333,-14.8235294117647,-14,-16.2133333333333,-20.7864526204623
1:00:07 AM,64,-13.033125,-19.1764705882353,-19,-13.033125,-26.8363479725996
1:00:10 AM,65,-8.723125,-21.6,-23,-8.723125,-14.7415140030348
1:00:13 AM,66,17.2415808823529,-1.015625,1,17.2415808823529,12.8498866571474
1:00:16 AM,67,55.676875,13,2.5,55.676875,49.3736134799573
1:00:19 AM,68,91.076875,115,115,91.076875,88.265425937405
1:00:22 AM,69,126.18,173,173,126.18,122.961083501501
1:00:25 AM,70,146.58,155.4,157,146.58,148.191293579481
1:00:28 AM,71,141.78,174.5,174.5,141.78,163.866555319484
1:00:31 AM,72,120.58,115,115,120.58,171.192315804876
1:00:34 AM,79,99.1,91,91,99.1,89.9441590761619
1:00:37 AM,81,71.8,67,67,71.8,60.2953724711196
1:00:40 AM,83,55.6,48,48,55.6,43.0009350778757
1:00:43 AM,84,43.4,38,38,43.4,38.3019213875541
1:00:46 AM,86,35.4,34,34,35.4,33.581805294995
1:00:49 AM,88,30.6,30,30,30.6,30.8075726205261
1:00:52 AM,89,27.2,27,27,27.2,28.7190684732489
1:00:55 AM,90,24.2,24,24,24.2,26.2548675683748
1:00:58 AM,91,22.4,21,21,22.4,23.8402017835908
1:01:01 AM,93,21.8,19,19,21.8,20.8604030850417
1:01:04 AM,94,22.8,21,21,22.8,21.1457339266508
1:01:07 AM,95,25.6,24,24,25.6,23.0810974324842
1:01:10 AM,96,30.2,29,29,30.2,26.5895756471573
1:01:13 AM,97,35.8,35,35,35.8,31.4938206486712
1:01:16 AM,98,42.3,42,42,42.3,37.6164845150271
1:01:19 AM,100,51.3,49,49,51.3,52.8076771542692
1:01:22 AM,101,59.7,56.5,56.5,59.7,61.4377327727051
1:01:25 AM,102,69.1,74,74,69.1,70.0741517052722
1:01:28 AM,104,78,77,77,78,84.6460323739428
1:01:31 AM,105,85.5,89,89,85.5,89.2214705406178
1:01:34 AM,106,89.5,93.5,93.5,89.5,91.3006049229342
1:01:37 AM,107,92.3,94,94,92.3,91.2903239380122
1:01:40 AM,108,91.7,94,94,91.7,89.8148960433395
1:01:43 AM,109,89.1,91,91,89.1,87.4985896964037
1:01:46 AM,110,85.35,86,86,85.35,84.9656733546922
1:01:49 AM,111,81.6833333333333,80.5,80.5,81.6833333333333,82.7254442529117
1:01:52 AM,112,78.8166666666667,75.25,75,78.8166666666667,80.8273147346459
1:01:55 AM,113,77.2166666666667,75.6666666666667,75,77.2166666666667,79.2057259206976
1:01:58 AM,114,76.5166666666667,76.6666666666667,77,76.5166666666667,77.7951189318696
1:02:01 AM,115,76.6666666666667,78,78,76.6666666666667,76.5299348889647
1:02:04 AM,116,76.5333333333333,77,77,76.5333333333333,75.3602770309919
1:02:07 AM,120,75.7,76,76,75.7,72.0485628671571
1:02:10 AM,122,74.3,75,75,74.3,71.6106497666315
1:02:13 AM,123,72.7,72.5,72.5,72.7,71.7956276168562
1:02:16 AM,125,71.3,71,71,71.3,72.738198143794
1:02:19 AM,126,69.9,69,69,69.9,73.0337991841437
1:02:22 AM,127,68.8,69,69,68.8,72.8728393911149
1:02:25 AM,128,68.2,68,68,68.2,72.0007402512329
1:02:28 AM,129,68.2,67,67,68.2,70.1629232510233
1:02:31 AM,130,68.2,68,68,68.2,67.2846908584134
1:02:34 AM,131,68.4,69,69,68.4,64.0108694669372
1:02:37 AM,132,68.8,69,69,68.8,61.1661664515309
1:02:40 AM,134,69,69,69,69,60.0629450486718
1:02:43 AM,135,69,69,69,69,63.4538414110908
1:02:46 AM,136,69,69,69,69,70.023718145048
1:02:49 AM,137,69.36,69,69,69.36,77.8524451041018
1:02:52 AM,138,70.96,69,69,70.96,84.4709246375349
1:02:55 AM,139,73.66,70.8,70,73.66,87.4100590946302
1:02:58 AM,140,78.7933333333333,77,77,78.7933333333333,84.2007508246704
1:03:01 AM,141,87.0933333333333,82.5,82.5,87.0933333333333,74.7998458618321
1:03:04 AM,142,99,94.6666666666667,95,99,68.8679649798656
1:03:07 AM,143,118.975,110.5,110.5,118.975,78.4916726374155
1:03:10 AM,144,149.525,130.333333333333,130,149.525,115.757533293126
1:03:13 AM,145,207.446212121212,176.875,176.5,207.446212121212,188.521095807772
1:03:16 AM,146,285.399545454545,235.25,235,285.399545454545,287.713846650654
1:03:19 AM,147,383.332878787879,384.272727272727,329,383.332878787879,400.036256693204
1:03:22 AM,148,497.357878787879,500.266666666667,481,497.357878787879,512.188796806853
1:03:25 AM,149,604.307878787879,620,620,604.307878787879,610.871937863034
1:03:28 AM,150,688.553333333333,747,747,688.553333333333,685.788635366997
1:03:31 AM,153,757.1,770,770,757.1,797.078945506103
1:03:34 AM,155,806.7,805.5,805.5,806.7,823.876453698295
1:03:37 AM,156,836.3,843,843,836.3,837.20253424726
1:03:40 AM,157,866.7,868,868,866.7,856.767337330596
1:03:43 AM,158,895.2,895,895,895.2,885.818004895798
1:03:46 AM,159,924.7,922,922,924.7,921.728731982967
1:03:49 AM,160,961.5,948,948,961.5,960.405476905357
1:03:52 AM,161,1002.9,990.5,990.5,1002.9,997.754197976219
1:03:55 AM,162,1045.9,1052,1052,1045.9,1032.65617333827
