"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled"
67,37.8409090909091,26.5,66.7569071669072,62.4683457876083,66.7569071669072
68,153,153,68.7346849446849,102.088317923394,68.7346849446849
69,139,130,71.0754256854257,136.915205188014,71.0754256854257
72,171,171,74.3293939393939,183.379658729878,74.3293939393939
75,155,155,77.7116161616161,165.329750419966,77.7116161616161
77,134,134,80.4671717171717,135.448746587428,80.4671717171717
79,114,114,83.2560606060606,103.885063813906,83.2560606060606
80,93,93,85.1671717171717,90.5886936323073,85.1671717171717
84,58.6666666666667,56,84.6444444444444,56.2987924952295,84.6444444444444
85,46,46,76.6444444444444,51.478188651005,76.6444444444444
90,42,42,69.9111111111111,40.1661634973065,69.9111111111111
92,38,38,61.4444444444444,37.9815964267622,61.4444444444444
94,34,34,54.5777777777778,35.2290597827023,54.5777777777778
96,32,32,49.7777777777778,32.4913411077801,49.7777777777778
98,30,30,46.9777777777778,30.7788329595104,46.9777777777778
100,30,30,46.3777777777778,31.1019278954082,46.3777777777778
101,33,33,48.8666666666667,32.3425741941434,48.8666666666667
102,38,38,53.2666666666667,34.4597368103672,53.2666666666667
105,44,44,58.8,46.7241034793176,58.8
106,52,52,65.0666666666667,52.9785489556004,65.0666666666667
107,62,62,71.8,60.4138378818026,71.8
108,72,72,78.7666666666667,69.013227540447,78.7666666666667
110,84,84,85.7,88.3563573906891,85.7
111,96,96,92.4333333333333,98.3130940329415,92.4333333333333
112,112,112,98.5666666666667,107.935276120384,98.5666666666667
114,125,125,103.966666666667,124.60196953215,103.966666666667
115,132,132,108.366666666667,130.855972248246,108.366666666667
116,135,135,111.566666666667,135.180382957553,111.566666666667
117,136.5,136.5,113.7,137.160669532108,113.7
118,134,134,114.933333333333,136.38229984395,114.933333333333
119,131,131,115,132.430741765116,115
120,125,125,114.066666666667,125.242449128728,114.066666666667
121,119,119,111.816666666667,116.157819612243,111.816666666667
122,110,110,108.55,106.8682368542,108.55
123,100,100,105.083333333333,99.0650844931382,105.083333333333
124,94,94,101.994444444444,93.9631841394141,101.994444444444
125,90.5,90.5,99.4277777777778,90.8711092906456,99.4277777777778
126,85,85,97.7944444444444,88.6208714162668,97.7944444444444
127,82,82,99.4777777777778,86.0444819857118,99.4777777777778
128,78.25,78,109.544444444444,81.9739524684148,109.544444444444
129,76,76,122.287301587302,76.2619831089397,122.287301587302
130,80,80,138.524338624339,72.8440292523692,138.524338624339
131,88.6666666666667,89,161.154338624339,76.6762350189159,161.154338624339
132,98,98,187.087671957672,92.7147445287924,187.087671957672
133,109.5,109.5,213.387671957672,125.915701902211,213.387671957672
134,156.25,154.5,240.187671957672,178.812836009531,240.187671957672
135,276,232,267.254338624339,244.250214721694,267.254338624339
136,310.142857142857,288,294.704338624339,312.649490659791,294.704338624339
137,353.555555555556,355,322.404338624339,374.43231644491,322.404338624339
138,439.45,443,350.004338624339,421.988943543294,350.004338624339
140,483,483,377.159894179894,477.450787912426,377.159894179894
142,485,485,403.826560846561,494.932390458092,403.826560846561
144,487,487,429.859894179894,492.299716716349,429.859894179894
145,488,488,453.043227513227,489.023640467718,453.043227513227
147,490,490,468.443227513227,486.496411603815,468.443227513227
148,491.5,491.5,481.767037037037,487.281739524716,481.767037037037
