date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
1:00:01 AM,63,-7.97788156288156,-9.84615384615385,-10,-7.97788156288156,-23.8237447654312
1:00:04 AM,64,-1.8867525306235,-12.8666666666667,-12,-1.8867525306235,-7.61610738075137
1:00:07 AM,65,-0.17828692215789,5.88888888888889,-10,-0.17828692215789,16.5682860330966
1:00:10 AM,66,37.7909438470729,11.5806451612903,-3,37.7909438470729,43.4834593250457
1:00:13 AM,67,77.1642771804062,4.35185185185185,-1,77.1642771804062,71.1915785073991
1:00:16 AM,68,111.786499402628,180,180,111.786499402628,98.5818451333028
1:00:19 AM,70,142.27037037037,184,184,142.27037037037,147.965626928344
1:00:22 AM,74,170.2,179,179,170.2,194.043828179441
1:00:25 AM,75,158.6,164,164,158.6,188.567832056578
1:00:28 AM,78,141.8,144,144,141.8,140.134908610975
1:00:31 AM,79,121,122,122,121,118.840860779955
1:00:34 AM,80,99.2,100,100,99.2,97.7312287792846
1:00:37 AM,81,79,75,75,79,78.4615841119209
1:00:40 AM,83,61.8,55,55,61.8,49.581601693384
1:00:43 AM,84,48.2,43,43,48.2,39.868362941738
1:00:46 AM,85,39,36,36,39,33.0307800702293
1:00:49 AM,87,33.6,32,32,33.6,27.1560446927899
1:00:52 AM,88,30.6,29,29,30.6,27.7023805735095
1:00:55 AM,89,29.6,28,28,29.6,30.2783772039336
1:00:58 AM,90,30.8,28,28,30.8,34.6579424097547
1:01:01 AM,91,34.8,31,31,34.8,40.6149840166653
1:01:04 AM,92,44,38,38,44,47.9234098503579
1:01:07 AM,93,54.8,49,49,54.8,56.3424713008951
1:01:10 AM,94,70,74,77,70,65.5727940158202
1:01:13 AM,95,85.6,82,82,85.6,75.3003472070467
1:01:16 AM,96,100.8,107,107,100.8,85.2111000864879
1:01:19 AM,101,112.4,116,116,112.4,126.521782223888
1:01:22 AM,102,123.4,125,125,123.4,131.043247885542
1:01:25 AM,104,130.4,132,132,130.4,136.27496980138
1:01:28 AM,105,136,137,137,136,137.631098912285
1:01:31 AM,106,139.6,142,142,139.6,138.577988696329
1:01:34 AM,108,141.4,144,144,141.4,139.752671312126
1:01:37 AM,109,141.8,143,143,141.8,139.549540558518
1:01:40 AM,110,140,141,141,140,138.466885649902
1:01:43 AM,111,135.9,139,139,135.9,136.240299500776
1:01:46 AM,112,130.5,133,133,130.5,132.605375025637
1:01:49 AM,113,124.1,123.5,123.5,124.1,127.431908735123
1:01:52 AM,114,116.7,116,116,116.7,121.126511524426
1:01:55 AM,115,109.7,109,109,109.7,114.229997884876
1:01:58 AM,117,104,102,102,104,100.826879284547
1:02:01 AM,118,99,98,98,99,95.401903306429
1:02:04 AM,119,94.8,95,95,94.8,91.416486334773
1:02:07 AM,120,91.4,91,91,91.4,88.7485302108521
1:02:10 AM,121,88.7,88,88,88.7,87.1433542459281
1:02:13 AM,122,86.7,85,85,86.7,86.3462777512629
1:02:16 AM,123,85.3,84.5,84.5,85.3,86.090182959166
1:02:19 AM,124,84.5,85,85,84.5,86.0582037861374
1:02:22 AM,125,84.3,84,84,84.3,85.9210370697248
1:02:25 AM,126,84.05,84,84,84.05,85.3493796474758
1:02:28 AM,127,83.15,84,84,83.15,84.0139283569381
1:02:31 AM,128,82.05,83.25,83.5,82.05,81.7458325468208
1:02:34 AM,129,80.55,80.5,80.5,80.55,79.0180516104778
1:02:37 AM,130,78.6166666666667,78.5,78.5,78.6166666666667,76.4639974524249
1:02:40 AM,131,76.7666666666667,76.5,76.5,76.7666666666667,74.7170819771774
1:02:43 AM,132,76.2666666666667,74.3333333333333,74,76.2666666666667,74.4107170892508
1:02:46 AM,133,76.7166666666667,74,74,76.7166666666667,76.2259738072291
1:02:49 AM,134,87.1833333333333,78,78,87.1833333333333,81.0345596059705
1:02:52 AM,135,93.3566666666667,80.75,81,93.3566666666667,89.7558410744017
1:02:55 AM,136,104.974848484849,128.833333333333,80.5,104.974848484849,103.309184801449
1:02:58 AM,137,126.308181818182,105.2,91.5,126.308181818182,122.167335619461
1:03:01 AM,138,160.558181818182,132.090909090909,122,160.558181818182,145.016551334469
1:03:04 AM,139,186.191515151515,184.666666666667,182,186.191515151515,170.096467995926
1:03:07 AM,142,217.351515151515,252,252,217.351515151515,241.116784153517
1:03:10 AM,143,244.333333333333,257,257,244.333333333333,257.515865095296
1:03:13 AM,144,262,261,261,262,267.930746176316
1:03:16 AM,145,267,267,267,267,273.535658173664
1:03:19 AM,146,271.9,273,273,271.9,276.091750809956
1:03:22 AM,147,276.9,277,277,276.9,277.360173807808
1:03:25 AM,148,282.05,281.5,281.5,282.05,279.102076889836
1:03:28 AM,149,287.05,286,286,287.05,282.706176833186
1:03:31 AM,150,291.85,292.75,293,291.85,288.071458633131
