date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
1:00:01 AM,63,6.16571428571429,-3,-3.5,6.16571428571429,-3.4955100478192
1:00:04 AM,64,7.09571428571429,2.14285714285714,2,7.09571428571429,-2.20549085528695
1:00:07 AM,65,9.97719576719577,22.2857142857143,6,9.97719576719577,4.8466994215224
1:00:10 AM,66,16.3076305498045,13.05,6,16.3076305498045,18.1650875740434
1:00:13 AM,67,56.079059121233,15.4074074074074,9,56.079059121233,37.8429140584177
1:00:16 AM,68,92.4219162640902,28.6521739130435,22,92.4219162640902,62.3302739896163
1:00:19 AM,71,127.31191626409,201,201,127.31191626409,145.042642260937
1:00:22 AM,73,154.030434782609,204,204,154.030434782609,188.285882636701
1:00:25 AM,75,186.7,187.5,187.5,186.7,203.710667512035
1:00:28 AM,77,169.1,149,149,169.1,181.391171553243
1:00:31 AM,78,141.3,192,192,141.3,159.815146853567
1:00:34 AM,79,114.9,113,113,114.9,134.440387142159
1:00:37 AM,81,94.9,65,65,94.9,81.7310110894993
1:00:40 AM,82,65.7,55.5,55.5,65.7,59.1145689509271
1:00:43 AM,83,52.1,49,49,52.1,41.6469992946571
1:00:46 AM,84,48.3,46,46,48.3,29.2436846654185
1:00:49 AM,90,46.8,45,45,46.8,29.065083928429
1:00:52 AM,92,47.6,46,46,47.6,43.5273446134617
1:00:55 AM,94,50.6,48,48,50.6,57.6057242092676
1:00:58 AM,95,56,53,53,56,63.0675626822277
1:01:01 AM,97,63.6,61,61,63.6,69.8860880968251
1:01:04 AM,98,73.8,72,72,73.8,72.7310298636274
1:01:07 AM,100,86.2,84,84,86.2,81.6117657515049
1:01:10 AM,101,100.2,99,99,100.2,89.3753575666862
1:01:13 AM,102,114.8,115,115,114.8,100.5062970921
1:01:16 AM,104,129.6,131,131,129.6,132.618171334749
1:01:19 AM,105,143.6,145,145,143.6,150.228894171344
1:01:22 AM,106,156.4,158,158,156.4,166.320362620434
1:01:25 AM,107,167,169,169,167,178.975743033757
1:01:28 AM,108,175.4,179,179,175.4,186.278201763048
1:01:31 AM,109,181.4,184,184,181.4,187.019903866368
