"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled"
63,-4.0625,-4,-4.57138888888889,-12.2854455540535,-4.57138888888889
64,-5.77777777777778,-7,-0.231944444444445,-6.63002521306835,-0.231944444444445
65,0.625,1.5,0.876388888888888,7.71881737300382,0.876388888888888
66,11.5972222222222,7,34.4888888888889,31.8631648680462,34.4888888888889
67,2,2,70.2444444444445,63.0493604637471,70.2444444444445
68,164,164,105.519444444444,97.5598124837459,105.519444444444
69,173,173,139.2,131.676929251682,139.2
71,177,177,173.2,183.860790325925,173.2
73,180,180,171.8,197.276727406325,171.8
74,172,172,160.6,191.27752095403,160.6
76,157,157,148.8,163.088738922895,148.8
79,117,117,127.8,108.001585635159,127.8
80,118,118,105.2,93.2224675908193,105.2
81,75,75,84.2,81.2112633850964,84.2
83,59,59,70.6,63.7152154745074,70.6
84,52,52,56,57.3416812621443,56
85,49,49,49.2,51.9586798734043,49.2
87,45,45,44.5,43.0725071203689,44.5
88,41,41,40.7,39.6233625303588,40.7
90,35.5,35.5,37.7,35.0622777867454,37.7
92,33,33,36.1,34.0832267761958,36.1
93,34,34,36.3,35.1116243525156,36.3
94,37,37,38.8,37.2869471023337,38.8
95,42,42,43.4,40.888180309316,43.4
96,48,48,49.2,46.2361334793261,49.2
97,56,56,56.2,53.6516161182273,56.2
98,63,63,64,63.2587003637865,64
99,72,72,74,74.3945088813831,74
100,81,81,85.4,86.1994269682998,85.4
101,98,98,96.6,97.8138399218193,96.6
102,113,113,106.8,108.378133039224,106.8
103,119,119,115.8,117.105041349589,115.8
104,123,123,121.533333333333,123.496698809153,121.533333333333
105,126,126,123.533333333333,127.127589105948,123.533333333333
106,126.666666666667,127,123.333333333333,127.572195928006,123.333333333333
107,123,123,120.533333333333,124.405002963358,120.533333333333
108,118,118,115.233333333333,117.549800932639,115.233333333333
109,109,109,108.1,108.327608686893,108.1
110,99.5,99.5,100.033333333333,98.4087521097708,100.033333333333
111,91,91,91.8333333333333,89.4635570849191,91.8333333333333
112,82.6666666666667,82,84.6333333333333,82.7986276951827,84.6333333333333
113,77,77,79.7333333333333,78.2656808201907,79.7333333333333
114,73,73,75.6333333333333,75.3527115387681,75.6333333333333
115,75,75,72.9,73.54771492974,72.9
117,70.5,70.5,71.1666666666667,71.2136200441674,71.1666666666667
118,69,69,69.9666666666667,69.7776846323259,69.9666666666667
119,68.3333333333333,68,68.1666666666667,68.1047384504967,68.1666666666667
121,67,67,66.9666666666667,64.8119390614452,66.9666666666667
122,66,66,65.5666666666667,63.5741484965079,65.5666666666667
123,64.5,64.5,63.9,62.8634724461531,63.9
124,62,62,62,62.7374990771798,62
125,60,60,60,62.720043939013,60
126,57.5,57.5,58.45,62.2014794267343,58.45
127,56,56,57.65,60.572177935425,57.65
128,56.75,57,57.25,57.5254480584165,57.25
129,58,58,57.35,53.9663431820386,57.35
130,58,58,57.55,51.1028528908706,57.55
131,58,58,57.5,50.1429667694919,57.5
132,57,57,57.1888888888889,52.2946744024822,57.1888888888889
133,56.5,56.5,58.3388888888889,58.3800967950726,58.3388888888889
134,56.4444444444444,56,65.3944444444444,67.6778806351023,65.3944444444444
135,63.75,63,74.139898989899,79.0808040310621,74.139898989899
136,93.2777777777778,83.5,92.3065656565657,91.481645091443,92.3065656565657
137,100.727272727273,97,113.217676767677,103.946406113718,113.217676767677
139,147.333333333333,147.5,133.467676767677,128.276508446537,133.467676767677
141,161,161,148.812121212121,151.354872779603,148.812121212121
142,165,165,163.666666666667,162.254961302188,163.666666666667
143,170,170,170.7,172.638485051984,170.7
144,175,175,176.5,182.394027656701,176.5
145,182.5,182.5,183.3,191.236014285354,183.3
146,190,190,191.1,198.835330492285,191.1
147,199,199,199.3,204.862861831836,199.3
148,209,209,209,208.989493858346,209
149,216,216,220.5,211.677435517958,220.5
150,231,231,232.8,216.554189324007,232.8
151,247.5,247.5,246.533333333333,228.038581181633,246.533333333333
152,260.5,260.5,261.933333333333,250.54943699597,261.933333333333
153,277.666666666667,278,296.755555555556,287.10146282057,296.755555555556
154,293,293,334.615555555556,335.092885302648,334.615555555556
155,405.111111111111,332,387.598888888889,390.517811237829,387.598888888889
156,436.8,376,443.130261437909,449.370347421743,443.130261437909
157,525.416666666667,439.5,498.130261437909,507.644600650017,498.130261437909
158,555.323529411765,560.5,560.308039215686,562.053967055665,560.308039215686
159,568,568,619.414705882353,612.189000121243,619.414705882353
160,716,716,665.53137254902,658.359542666694,665.53137254902
161,732.333333333333,732,709.466666666667,700.875437511959,709.466666666667
162,756,756,754.766666666667,740.046527476982,754.766666666667
163,775,775,774.966666666667,776.859055673915,774.966666666667
164,794.5,794.5,802.066666666667,815.004866383749,802.066666666667
165,817,817,839.5,858.852204179688,839.5
166,867.833333333333,867,889.625,912.769313634933,889.625
167,943.166666666667,944,975.230882352941,979.561264427355,975.230882352941
168,1025.625,1023.5,1077.43088235294,1055.78042665349,1077.43088235294
