date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
1:00:01 AM,63,-4.57138888888889,-4.0625,-4,-4.57138888888889,-12.2854455540535
1:00:04 AM,64,-0.231944444444445,-5.77777777777778,-7,-0.231944444444445,-6.63002521306835
1:00:07 AM,65,0.876388888888888,0.625,1.5,0.876388888888888,7.71881737300382
1:00:10 AM,66,34.4888888888889,11.5972222222222,7,34.4888888888889,31.8631648680462
1:00:13 AM,67,70.2444444444445,2,2,70.2444444444445,63.0493604637471
1:00:16 AM,68,105.519444444444,164,164,105.519444444444,97.5598124837459
1:00:19 AM,69,139.2,173,173,139.2,131.676929251682
1:00:22 AM,71,173.2,177,177,173.2,183.860790325925
1:00:25 AM,73,171.8,180,180,171.8,197.276727406325
1:00:28 AM,74,160.6,172,172,160.6,191.27752095403
1:00:31 AM,76,148.8,157,157,148.8,163.088738922895
1:00:34 AM,79,127.8,117,117,127.8,108.001585635159
1:00:37 AM,80,105.2,118,118,105.2,93.2224675908193
1:00:40 AM,81,84.2,75,75,84.2,81.2112633850964
1:00:43 AM,83,70.6,59,59,70.6,63.7152154745074
1:00:46 AM,84,56,52,52,56,57.3416812621443
1:00:49 AM,85,49.2,49,49,49.2,51.9586798734043
1:00:52 AM,87,44.5,45,45,44.5,43.0725071203689
1:00:55 AM,88,40.7,41,41,40.7,39.6233625303588
1:00:58 AM,90,37.7,35.5,35.5,37.7,35.0622777867454
1:01:01 AM,92,36.1,33,33,36.1,34.0832267761958
1:01:04 AM,93,36.3,34,34,36.3,35.1116243525156
1:01:07 AM,94,38.8,37,37,38.8,37.2869471023337
1:01:10 AM,95,43.4,42,42,43.4,40.888180309316
1:01:13 AM,96,49.2,48,48,49.2,46.2361334793261
1:01:16 AM,97,56.2,56,56,56.2,53.6516161182273
1:01:19 AM,98,64,63,63,64,63.2587003637865
1:01:22 AM,99,74,72,72,74,74.3945088813831
1:01:25 AM,100,85.4,81,81,85.4,86.1994269682998
1:01:28 AM,101,96.6,98,98,96.6,97.8138399218193
1:01:31 AM,102,106.8,113,113,106.8,108.378133039224
1:01:34 AM,103,115.8,119,119,115.8,117.105041349589
1:01:37 AM,104,121.533333333333,123,123,121.533333333333,123.496698809153
1:01:40 AM,105,123.533333333333,126,126,123.533333333333,127.127589105948
1:01:43 AM,106,123.333333333333,126.666666666667,127,123.333333333333,127.572195928006
1:01:46 AM,107,120.533333333333,123,123,120.533333333333,124.405002963358
1:01:49 AM,108,115.233333333333,118,118,115.233333333333,117.549800932639
1:01:52 AM,109,108.1,109,109,108.1,108.327608686893
1:01:55 AM,110,100.033333333333,99.5,99.5,100.033333333333,98.4087521097708
1:01:58 AM,111,91.8333333333333,91,91,91.8333333333333,89.4635570849191
1:02:01 AM,112,84.6333333333333,82.6666666666667,82,84.6333333333333,82.7986276951827
1:02:04 AM,113,79.7333333333333,77,77,79.7333333333333,78.2656808201907
1:02:07 AM,114,75.6333333333333,73,73,75.6333333333333,75.3527115387681
1:02:10 AM,115,72.9,75,75,72.9,73.54771492974
1:02:13 AM,117,71.1666666666667,70.5,70.5,71.1666666666667,71.2136200441674
1:02:16 AM,118,69.9666666666667,69,69,69.9666666666667,69.7776846323259
1:02:19 AM,119,68.1666666666667,68.3333333333333,68,68.1666666666667,68.1047384504967
1:02:22 AM,121,66.9666666666667,67,67,66.9666666666667,64.8119390614452
1:02:25 AM,122,65.5666666666667,66,66,65.5666666666667,63.5741484965079
1:02:28 AM,123,63.9,64.5,64.5,63.9,62.8634724461531
1:02:31 AM,124,62,62,62,62,62.7374990771798
1:02:34 AM,125,60,60,60,60,62.720043939013
1:02:37 AM,126,58.45,57.5,57.5,58.45,62.2014794267343
1:02:40 AM,127,57.65,56,56,57.65,60.572177935425
1:02:43 AM,128,57.25,56.75,57,57.25,57.5254480584165
1:02:46 AM,129,57.35,58,58,57.35,53.9663431820386
1:02:49 AM,130,57.55,58,58,57.55,51.1028528908706
1:02:52 AM,131,57.5,58,58,57.5,50.1429667694919
1:02:55 AM,132,57.1888888888889,57,57,57.1888888888889,52.2946744024822
1:02:58 AM,133,58.3388888888889,56.5,56.5,58.3388888888889,58.3800967950726
1:03:01 AM,134,65.3944444444444,56.4444444444444,56,65.3944444444444,67.6778806351023
1:03:04 AM,135,74.139898989899,63.75,63,74.139898989899,79.0808040310621
1:03:07 AM,136,92.3065656565657,93.2777777777778,83.5,92.3065656565657,91.481645091443
1:03:10 AM,137,113.217676767677,100.727272727273,97,113.217676767677,103.946406113718
1:03:13 AM,139,133.467676767677,147.333333333333,147.5,133.467676767677,128.276508446537
1:03:16 AM,141,148.812121212121,161,161,148.812121212121,151.354872779603
1:03:19 AM,142,163.666666666667,165,165,163.666666666667,162.254961302188
1:03:22 AM,143,170.7,170,170,170.7,172.638485051984
1:03:25 AM,144,176.5,175,175,176.5,182.394027656701
1:03:28 AM,145,183.3,182.5,182.5,183.3,191.236014285354
1:03:31 AM,146,191.1,190,190,191.1,198.835330492285
1:03:34 AM,147,199.3,199,199,199.3,204.862861831836
1:03:37 AM,148,209,209,209,209,208.989493858346
1:03:40 AM,149,220.5,216,216,220.5,211.677435517958
1:03:43 AM,150,232.8,231,231,232.8,216.554189324007
1:03:46 AM,151,246.533333333333,247.5,247.5,246.533333333333,228.038581181633
1:03:49 AM,152,261.933333333333,260.5,260.5,261.933333333333,250.54943699597
1:03:52 AM,153,296.755555555556,277.666666666667,278,296.755555555556,287.10146282057
1:03:55 AM,154,334.615555555556,293,293,334.615555555556,335.092885302648
1:03:58 AM,155,387.598888888889,405.111111111111,332,387.598888888889,390.517811237829
1:04:01 AM,156,443.130261437909,436.8,376,443.130261437909,449.370347421743
1:04:04 AM,157,498.130261437909,525.416666666667,439.5,498.130261437909,507.644600650017
1:04:07 AM,158,560.308039215686,555.323529411765,560.5,560.308039215686,562.053967055665
1:04:10 AM,159,619.414705882353,568,568,619.414705882353,612.189000121243
1:04:13 AM,160,665.53137254902,716,716,665.53137254902,658.359542666694
1:04:16 AM,161,709.466666666667,732.333333333333,732,709.466666666667,700.875437511959
1:04:19 AM,162,754.766666666667,756,756,754.766666666667,740.046527476982
1:04:22 AM,163,774.966666666667,775,775,774.966666666667,776.859055673915
1:04:25 AM,164,802.066666666667,794.5,794.5,802.066666666667,815.004866383749
1:04:28 AM,165,839.5,817,817,839.5,858.852204179688
1:04:31 AM,166,889.625,867.833333333333,867,889.625,912.769313634933
1:04:34 AM,167,975.230882352941,943.166666666667,944,975.230882352941,979.561264427355
1:04:37 AM,168,1077.43088235294,1025.625,1023.5,1077.43088235294,1055.78042665349
1:04:40 AM,169,1178.66421568627,1222.52941176471,1224,1178.66421568627,1136.41599551455
1:04:43 AM,170,1266.83088235294,1328,1316,1266.83088235294,1216.45716621173
