"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled"
63,-2.69230769230769,-2,-10.8006169269327,-14.3837138792186,-10.8006169269327
64,-0.214285714285714,-0.5,-2.02283914915494,-7.00593096510976,-2.02283914915494
65,2,2,0.394498312145371,1.57930146816159,0.394498312145371
66,1.05555555555556,1,5.26880890721068,13.3853017274275,5.26880890721068
67,1.82352941176471,-1,45.6259517643535,29.8697672725835,45.6259517643535
68,21.6792452830189,18,86.6259517643535,50.2679121757799,86.6259517643535
72,201.571428571429,219,119.614840653242,144.589149873247,119.614840653242
73,207,207,146.450134770889,164.749589944853,146.450134770889
75,166,166,163.314285714286,191.723779441251,163.314285714286
80,136,136,138.4,164.589877708292,138.4
83,106,106,108.6,111.93712205839,108.6
84,77,77,85.8,93.3344209612944,85.8
85,58,58,68.8,75.5975748557911,68.8
88,52,52,57.4,35.9326440797655,57.4
89,51,51,51.6,30.0096955315632,51.6
90,49,49,49.2,28.7885440953563,49.2
92,48,48,48,36.6665934189721,48
93,46,46,47.2,43.3643295962216,47.2
94,46,46,47.2,50.3002303953832,47.2
95,47,47,48.2,56.2735635251704,48.2
96,49,49,50.8,60.4126305396835,50.8
98,53,53,55,65.2947478108687,55
99,59,59,61.7,67.584739629612,61.7
100,67,67,70.9,70.8053146118365,70.9
101,80.5,80.5,81.3,75.7299435385779,81.3
102,95,95,92.1,82.8725504077772,92.1
104,105,105,104.166666666667,101.455098652708,104.166666666667
105,113,113,115.366666666667,111.327420193377,115.366666666667
106,127.333333333333,128,123.566666666667,120.542026789473,123.566666666667
108,136.5,136.5,129.066666666667,133.862855477821,129.066666666667
109,136,136,131.866666666667,136.401457735012,131.866666666667
110,132.5,132.5,130.15,135.404559445408,130.15
111,127,127,124.55,131.375621031004,124.55
112,118.75,118.5,116.55,125.075556981696,116.55
113,108.5,108.5,109.25,117.265281787381,109.25
116,96,96,100.65,92.3823342333604,100.65
117,96,96,92.7,85.9985390109159,92.7
118,84,84,86.2,81.0581830105329,86.2
119,79,79,81.6,77.4712586396927,81.6
120,76,76,76.6,75.1477583058764,76.6
121,73,73,73.8666666666667,73.9976744165652,73.8666666666667
122,71,71,72.4666666666667,73.8605599294944,72.4666666666667
123,70.3333333333333,70,71.9666666666667,74.2942100034156,71.9666666666667
124,72,72,72.1666666666667,74.7859803473346,72.1666666666667
125,73.5,73.5,72.4666666666667,74.8232266702572,72.4666666666667
126,74,74,72,73.893304681189,72
