date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
1:00:01 AM,63,-10.8006169269327,-2.69230769230769,-2,-10.8006169269327,-14.3837138792186
1:00:04 AM,64,-2.02283914915494,-0.214285714285714,-0.5,-2.02283914915494,-7.00593096510976
1:00:07 AM,65,0.394498312145371,2,2,0.394498312145371,1.57930146816159
1:00:10 AM,66,5.26880890721068,1.05555555555556,1,5.26880890721068,13.3853017274275
1:00:13 AM,67,45.6259517643535,1.82352941176471,-1,45.6259517643535,29.8697672725835
1:00:16 AM,68,86.6259517643535,21.6792452830189,18,86.6259517643535,50.2679121757799
1:00:19 AM,72,119.614840653242,201.571428571429,219,119.614840653242,144.589149873247
1:00:22 AM,73,146.450134770889,207,207,146.450134770889,164.749589944853
1:00:25 AM,75,163.314285714286,166,166,163.314285714286,191.723779441251
1:00:28 AM,80,138.4,136,136,138.4,164.589877708292
1:00:31 AM,83,108.6,106,106,108.6,111.93712205839
1:00:34 AM,84,85.8,77,77,85.8,93.3344209612944
1:00:37 AM,85,68.8,58,58,68.8,75.5975748557911
1:00:40 AM,88,57.4,52,52,57.4,35.9326440797655
1:00:43 AM,89,51.6,51,51,51.6,30.0096955315632
1:00:46 AM,90,49.2,49,49,49.2,28.7885440953563
1:00:49 AM,92,48,48,48,48,36.6665934189721
1:00:52 AM,93,47.2,46,46,47.2,43.3643295962216
1:00:55 AM,94,47.2,46,46,47.2,50.3002303953832
1:00:58 AM,95,48.2,47,47,48.2,56.2735635251704
1:01:01 AM,96,50.8,49,49,50.8,60.4126305396835
1:01:04 AM,98,55,53,53,55,65.2947478108687
1:01:07 AM,99,61.7,59,59,61.7,67.584739629612
1:01:10 AM,100,70.9,67,67,70.9,70.8053146118365
1:01:13 AM,101,81.3,80.5,80.5,81.3,75.7299435385779
1:01:16 AM,102,92.1,95,95,92.1,82.8725504077772
1:01:19 AM,104,104.166666666667,105,105,104.166666666667,101.455098652708
1:01:22 AM,105,115.366666666667,113,113,115.366666666667,111.327420193377
1:01:25 AM,106,123.566666666667,127.333333333333,128,123.566666666667,120.542026789473
1:01:28 AM,108,129.066666666667,136.5,136.5,129.066666666667,133.862855477821
1:01:31 AM,109,131.866666666667,136,136,131.866666666667,136.401457735012
1:01:34 AM,110,130.15,132.5,132.5,130.15,135.404559445408
1:01:37 AM,111,124.55,127,127,124.55,131.375621031004
1:01:40 AM,112,116.55,118.75,118.5,116.55,125.075556981696
1:01:43 AM,113,109.25,108.5,108.5,109.25,117.265281787381
1:01:46 AM,116,100.65,96,96,100.65,92.3823342333604
1:01:49 AM,117,92.7,96,96,92.7,85.9985390109159
1:01:52 AM,118,86.2,84,84,86.2,81.0581830105329
1:01:55 AM,119,81.6,79,79,81.6,77.4712586396927
1:01:58 AM,120,76.6,76,76,76.6,75.1477583058764
1:02:01 AM,121,73.8666666666667,73,73,73.8666666666667,73.9976744165652
1:02:04 AM,122,72.4666666666667,71,71,72.4666666666667,73.8605599294944
1:02:07 AM,123,71.9666666666667,70.3333333333333,70,71.9666666666667,74.2942100034156
1:02:10 AM,124,72.1666666666667,72,72,72.1666666666667,74.7859803473346
1:02:13 AM,125,72.4666666666667,73.5,73.5,72.4666666666667,74.8232266702572
1:02:16 AM,126,72,74,74,72,73.893304681189
1:02:19 AM,127,70.3,72.5,72.5,70.3,71.4835700891358
1:02:22 AM,128,67.5,68,68,67.5,67.3934773402197
