"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled"
62,0.791666666666667,1,-8.83437921727396,-13.503720405105,-8.83437921727396
63,22.3157894736842,2,5.93704935415462,7.64810732567676,5.93704935415462
64,26.1052631578947,9,16.9462304955938,30.2814631766293,16.9462304955938
65,5.85714285714286,5.5,63.3878971622605,56.2898901933785,63.3878971622605
66,29.6612903225806,27,106.124739267524,84.8875821928446,106.124739267524
68,233,233,146.903686635945,144.028187178903,146.903686635945
71,236,236,183.532258064516,215.767494771962,183.532258064516
74,230,230,215.2,232.205438735639,215.2
75,189,189,196,219.302958921633,196
76,188,188,168.3,198.635711609407,168.3
78,137,137,137.1,144.993950215773,137.1
80,97.5,97.5,112.9,93.2542260056908,112.9
81,74,74,87.5,74.3870161306444,87.5
82,68,68,71.3,60.7705380920321,71.3
84,61,61,61.8,46.4165962353403,61.8
89,56,56,56.2,52.1388761777457,56.2
91,50,50,51.4,55.9864402223237,51.4
93,46,46,48,53.7871423806651,48
95,44,44,46.2,48.2047383538275,46.2
96,44,44,46.4,45.5029275699593,46.4
98,47,47,48.4,42.9942005593093,48.4
100,51,51,52.2,46.8843906194008,52.2
101,56,56,57.4,50.9634978959357,57.4
103,63,63,64.5,62.04675477989,64.5
105,70,70,73.3,75.2394252222321,73.3
106,82.5,82.5,82.5,81.9552994467518,82.5
108,95,95,91.7,94.6130111297693,91.7
110,102,102,101.2,105.987412059048,101.2
111,109,109,109.3,111.140381265067,109.3
112,117.5,117.5,115.5,115.908935111487,115.5
113,123,123,120.9,120.271877707923,120.9
114,126,126,124.966666666667,124.165537153266,124.966666666667
115,129,129,127.066666666667,127.356337503535,127.066666666667
117,129.333333333333,129,127.666666666667,130.525153100043,127.666666666667
118,128,128,127.366666666667,129.951064436879,127.366666666667
119,126,126,126.166666666667,127.754682352986,126.166666666667
120,124.5,124.5,124.5,124.583822359421,124.5
121,123,123,122.7,121.27107346039,122.7
122,121,121,120.9,118.649024660102,120.9
123,119,119,119.7,117.550264962764,119.7
124,117,117,119.5,118.592185050749,119.5
125,118.5,118.5,121.1,121.531382319083,121.1
126,122,122,126.4,125.909255840959,126.4
127,129,129,138.666666666667,131.267204689567,138.666666666667
128,145.5,145,158.7,139.119505054117,158.7
129,178.333333333333,178,190.85,158.871941587887,190.85
130,218.666666666667,218,237.916666666667,201.903176060172,237.916666666667
131,282.75,282,295.916666666667,279.591870240268,295.916666666667
132,364.333333333333,364,418.234615384615,403.316685897471,418.234615384615
133,435.5,435.5,598.381282051282,578.389202016633,598.381282051282
134,789.923076923077,723,812.136545209177,785.852666444832,812.136545209177
135,1119.4,1128.5,1010.66987854251,1000.6832442447,1010.66987854251
136,1351.52631578947,1367,1194.56987854251,1197.85710047889,1194.56987854251
137,1357,1357,1307.18526315789,1352.35040021001,1307.18526315789
139,1355,1355,1353.50526315789,1484.07421174396,1353.50526315789
141,1353,1353,1353.1,1450.03510599917,1353.1
143,1351,1351,1351.4,1355.28773145857,1351.4
144,1349.5,1349.5,1350.2,1317.97802104077,1350.2
145,1348.5,1348.5,1349.4,1301.72297940201,1349.4
146,1349,1349,1349.4,1303.83565158719,1349.4
147,1349,1349,1350.3,1318.46532543807,1350.3
149,1351,1351,1352.2,1361.8728295041,1352.2
150,1354,1354,1354.6,1378.9492354028,1354.6
151,1358,1358,1357.8,1386.53701371612,1357.8
152,1361,1361,1361.2,1385.77154919482,1361.2
153,1365,1365,1364.9,1379.18544597145,1364.9
154,1368,1368,1368.9,1369.31130817855,1368.9
155,1372.5,1372.5,1373.1,1358.8822284432,1373.1
156,1378,1378,1377.1,1351.43325337048,1377.1
157,1382,1382,1381.3,1350.69991806001,1381.3
158,1385,1385,1385.3,1360.41775761139,1385.3
159,1389,1389,1389.85,1384.32230712425,1389.85
160,1392.5,1392.5,1395.55,1425.09774406578,1395.55
161,1400.75,1400.5,1478.21666666667,1481.22281537358,1478.21666666667
162,1410.5,1410.5,1574.05303030303,1550.12491035285,1574.05303030303
163,1798.33333333333,1794.5,1675.23874458874,1629.23141830877,1675.23874458874
164,1868.18181818182,2031,1761.84771894772,1716.05950504477,1761.84771894772
165,1898.42857142857,1973,1822.02390942391,1808.48544235726,1822.02390942391
166,1833.79487179487,1806,1951.75724275724,1904.47527854086,1951.75724275724
167,1711.38095238095,1714,2072.32087912088,2001.99506189022,2072.32087912088
170,2447,2447,2196.03516483517,2283.39457787921,2196.03516483517
172,2471,2471,2336.47619047619,2441.14757090355,2336.47619047619
173,2517,2517,2505,2504.6417007961,2505
174,2536,2536,2529.6,2554.96167846965,2529.6
175,2554,2554,2553.73333333333,2589.91807306977,2553.73333333333
176,2570,2570,2573.93333333333,2607.32145374203,2573.93333333333
177,2591.66666666667,2597,2591.93333333333,2607.1759564869,2591.93333333333
178,2618,2618,2607.53333333333,2598.25998472445,2607.53333333333
179,2626,2626,2622.23333333333,2591.54550872965,2622.23333333333
180,2632,2632,2633.3,2598.00449877748,2633.3
181,2643.5,2643.5,2635.7,2624.13184968804,2635.7
182,2647,2647,2642.56666666667,2658.51415446198,2642.56666666667
183,2630,2654,2629.78888888889,2685.26093064506,2629.78888888889
184,2660.33333333333,2661,2611.53888888889,2688.48169578307,2611.53888888889
185,2568.11111111111,2497,2593.71388888889,2652.28596742177,2593.71388888889
186,2552.25,2499.5,2575.19388888889,2570.3912217388,2575.19388888889
187,2557.875,2533,2548.52722222222,2474.94676943924,2548.52722222222
188,2537.4,2511,2549.105,2407.70987986,2549.105
189,2527,2527,2567.855,2410.43782233802,2567.855
190,2571,2570,2599.78,2512.55203237829,2599.78
191,2646,2646,2660.25,2694.13061015799,2660.25
192,2717.5,2717.5,2813.86818181818,2922.91582202235,2813.86818181818
193,2839.75,2838.5,3054.83484848485,3166.64993431664,3054.83484848485
194,3295.09090909091,3242,3332.68484848485,3393.07521338607,3332.68484848485
195,3775.83333333333,3765,3574.28484848485,3576.4462423164,3574.28484848485
196,4035.25,4043.5,3797.93484848485,3717.06687115537,3797.93484848485
197,3925.5,3925.5,3925.31666666667,3821.7532666912,3925.31666666667
199,3958,3957,3955.35,3950.58802500645,3955.35
200,3932,3932,3936.6,3988.36872136234,3936.6
201,3926,3926,3945.7,4017.66246980499,3945.7
202,3941.5,3941.5,3962.1,4046.19852830723,3962.1
203,3971,3971,4022.62,4081.88877307882,4022.62
204,4040,4038,4128.5,4132.64508032954,4128.5
205,4234.6,4234,4252.5,4203.2981498401,4252.5
206,4455.4,4443,4364.53076923077,4286.35397567508,4364.53076923077
207,4561.5,4584.5,4438.33076923077,4371.23737546999,4438.33076923077
208,4531.15384615385,4543,4473.21076923077,4447.37316686036,4473.21076923077
210,4409,4409,4464.73076923077,4531.10119496961,4464.73076923077
211,4409,4409,4436.63076923077,4522.27160411579,4436.63076923077
212,4413,4413,4417.6,4490.76489833709,4417.6
213,4421,4421,4427.9,4454.37711820658,4427.9
214,4436,4436,4445.1,4430.90430429734,4445.1
215,4460.5,4460.5,4469.63333333333,4435.00838539942,4469.63333333333
216,4495,4495,4547.48333333333,4468.81484317073,4547.48333333333
217,4535.66666666667,4536,4619.03333333333,4531.31504748617,4619.03333333333
218,4810.25,4637,4703.43333333333,4621.50036822063,4703.43333333333
219,4793.75,4644,4785.14444444445,4738.362175249,4785.14444444445
220,4882.5,4750,4972.01111111111,4879.42000676326,4972.01111111111
221,4903.55555555556,4871,5126.46111111111,5036.3060742238,5126.46111111111
225,5470,5470,5314.71111111111,5625.34029907791,5314.71111111111
227,5582.5,5582.5,5507.61111111111,5758.99670139667,5507.61111111111
228,5735,5735,5710.5,5751.1710542501,5710.5
229,5847,5847,5826.83333333333,5698.25089280858,5826.83333333333
230,5918,5918,5957.13333333333,5679.36765454481,5957.13333333333
231,6051.66666666667,6053,6085.53333333333,5791.44698847058,6085.53333333333
232,6234,6234,6496.61333333333,6131.41454359766,6496.61333333333
233,6377,6377,7010.36333333333,6758.99431739155,7010.36333333333
234,7902.4,6575,7381.94304347826,7585.10370113264,7381.94304347826
235,8486.75,9090,8255.54304347826,8483.45843455508,8255.54304347826
236,7909.5652173913,7781,9138.04304347826,9327.774257393,9138.04304347826
237,10602,10602,9750.56304347826,9991.76690938058,9750.56304347826
239,10789.5,10789.5,10277.5130434783,10568.3468140827,10277.5130434783
240,10965,10965,10972.95,10633.5796334851,10972.95
242,11121.5,11121.5,11175.55,10791.6390338444,11175.55
243,11386.75,11389,11368.65,11073.9488257819,11368.65
244,11615,11615,11560.3833333333,11589.4439113249,11560.3833333333
245,11755,11755,12158.0166666667,12289.5813548627,12158.0166666667
246,11923.6666666667,11924,12687.6771929825,13097.1613125646,12687.6771929825
247,14109.6666666667,14837,13681.1438596491,13934.9839405998,13681.1438596491
