"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled"
62,2.27272727272727,-6,-30.8601370851371,1.44159508365509,-30.8601370851371
63,4.125,-6,-5.12013708513709,-2.82941878291481,-5.12013708513709
64,10.4444444444444,0.5,5.49025252525253,-10.4056089930576,5.49025252525253
65,0.2,-0.5,11.7764478114478,5.09204057029689,11.7764478114478
66,10.4090909090909,6,59.1514478114478,42.2566691606635,59.1514478114478
67,33.7037037037037,22,105.662558922559,92.734946815668,105.662558922559
68,241,241,151.822558922559,148.173543572936,151.822558922559
70,243,243,191.540740740741,240.518374544768,191.540740740741
73,231,231,221,259.800431790055,221
75,209,209,203.4,216.025469360346,203.4
76,181,181,179.4,187.01954246701,179.4
78,153,153,152,131.221554822522,152
79,123,123,124.8,110.292648384947,124.8
80,94,94,101.4,94.5725425444827,101.4
81,73,73,83.2,83.0484966844642,83.2
83,64,64,70.4,68.5376224391007,70.4
84,62,62,63,63.5253128204242,63
85,59,59,59.4,58.9278629685869,59.4
86,57,57,57.6,55.0813435322073,57.6
88,55,55,56.6,52.0644275125212,56.6
89,55,55,57.2,54.1056967325648,57.2
90,57,57,62.4,59.0759422966014,62.4
91,62,62,66.2,66.3545687154806,66.2
92,83,83,73.5333333333333,75.075694821887,73.5333333333333
93,74,74,84.7333333333333,84.3734394485053,84.7333333333333
94,91.6666666666667,89,96.3333333333333,93.3819214280201,96.3333333333333
95,113,113,105.233333333333,101.392637314884,105.233333333333
100,120,120,117.033333333333,126.862540248152,117.033333333333
101,127.5,127.5,125.9,129.588481677642,125.9
102,133,133,130.9,131.707975435759,130.9
104,136,136,134.4,134.441160591045,134.4
105,138,138,135.7,135.143632496139,135.7
106,137.5,137.5,135.3,135.145258471072,135.3
107,134,134,133.5,134.11648476718,133.5
108,131,131,130.5,131.727757635799,130.5
109,127,127,126.6,127.778035754412,126.6
110,123,123,121.15,122.5803275051,121.15
111,118,118,114.55,116.576153696094,114.55
112,106.75,107.5,107.75,110.207035135622,107.75
113,98,98,101.55,103.914492631915,101.55
115,93,93,96.15,93.0092512594296,96.15
117,92,92,92.8,85.8127572030564,92.8
119,91,91,91.2,83.9613703189297,91.2
120,90,90,90.4,85.5514545215007,90.4
121,90,90,89.7,88.8889107796609,89.7
122,89,89,89.1,93.1655856578123,89.1
123,88.5,88.5,88.5,97.3707860368345,88.5
125,88,88,87.7,101.523990821008,87.7
127,87,87,87.1,93.2629801792165,87.1
128,86,86,86.5,82.8806103268728,86.5
129,86,86,85.9,71.9438015672213,85.9
130,85.5,85.5,85.4,65.0230550876867,85.4
131,85,85,85,66.6888720756937,85
132,84.5,84.5,84.4666666666667,79.4873393471637,84.4666666666667
133,84,84,83.9666666666667,97.8668862320047,83.9666666666667
134,83.3333333333333,83,83.6666666666667,114.251527688622,83.6666666666667
135,83,83,83.9666666666667,121.065278675419,83.9666666666667
136,83.5,83.5,85.4666666666667,110.732154150801,85.4666666666667
137,86,86,89.9333333333333,80.7573761054613,89.9333333333333
138,91.5,91.5,99.8833333333333,48.9709946592408,99.8833333333333
139,105.666666666667,105.5,116.863333333333,38.2842669642697,116.863333333333
140,132.75,132.5,144.023333333333,71.6084501726776,144.023333333333
141,168.4,168,231.061794871795,171.854801436594,231.061794871795
142,221.8,221,363.340961538462,351.481657638466,363.340961538462
143,526.692307692308,391,577.690961538461,581.135674582008,577.690961538461
144,767.0625,757.5,796.810961538462,821.01058780125,796.810961538462
145,1204.5,1204.5,1013.25096153846,1031.30013283022,1013.25096153846
150,1264,1264,1176.9125,1337.86083949936,1176.9125
151,1304,1304,1300.9,1329.76471138166,1300.9
152,1345,1345,1346,1327.96783888983,1346
153,1387,1387,1392.1,1345.08537007087,1392.1
154,1430,1430,1448,1393.73245297182,1448
155,1494.5,1494.5,1509,1480.33998016005,1509
