"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled"
51,15.9319727891156,7,87.1863945578231,66.6757595101516,87.1863945578231
52,5,5,103.786394557823,87.7372470920984,103.786394557823
53,109,109,111.986394557823,112.10112567367,111.986394557823
56,214,214,146.2,164.95703909039,146.2
58,216,216,178.2,180.648188086063,178.2
61,187,187,179.4,175.625417166116,179.4
62,165,165,154.2,166.487234117828,154.2
63,115,115,124.6,153.6803959912,124.6
66,88,88,99,99.4145439850926,99
67,68,68,77,80.242917310752,77
68,59,59,64.2,62.7363328479021,64.2
69,55,55,56,48.2187187251287,56
70,51,51,50.9,38.0140030710175,50.9
71,47,47,46.9,33.0059874295507,46.9
73,42.5,42.5,43.7,34.6331104222151,43.7
74,39,39,41.5,38.6345862982732,41.5
75,39,39,40.7,43.0055632554329,40.7
76,40,40,42.3,46.7164593404887,42.3
78,43,43,46.9,52.9229213205885,46.9
79,50.5,50.5,53.3,56.2318175675291,53.3
80,62,62,60.5,60.2200442203277,60.5
81,71,71,68.1,65.2942664549327,68.1
82,76,76,75.9,71.6513789736354,75.9
83,81,81,82.1,78.6491945841006,82.1
84,89.5,90,86.3,85.4357556203364,86.3
85,93,93,89.7,91.1591044163507,89.7
86,92,92,91.9,94.9672833061516,91.9
87,93,93,92.2,96.2778414739158,92.2
88,92,92,91.6,95.5863555044949,91.6
89,91,91,91.2,93.6579088329094,91.2
91,90,90,90.6,89.1504671233259,90.6
92,90,90,90.2,87.9255375727805,90.2
93,90,90,89.45,87.4673727646236,89.45
94,90,90,88.65,87.4844478383469,88.65
95,87.25,87.5,87.45,87.6852379334423,87.45
96,86,86,85.85,87.7782181894018,85.85
99,84,84,83.85,86.0611396112594,83.85
102,82,82,81.9,82.2754072658598,81.9
104,80,80,79.7,79.3555970807169,79.7
106,77.5,77.5,77.7,76.6462804283039,77.7
108,75,75,75.8333333333333,74.5994153914474,75.8333333333333
109,74,74,74.0333333333333,73.9447105036488,74.0333333333333
111,72.6666666666667,73,72.5333333333333,73.194800017157,72.5333333333333
