date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
1:00:01 AM,51,87.1863945578231,15.9319727891156,7,87.1863945578231,66.6757595101516
1:00:04 AM,52,103.786394557823,5,5,103.786394557823,87.7372470920984
1:00:07 AM,53,111.986394557823,109,109,111.986394557823,112.10112567367
1:00:10 AM,56,146.2,214,214,146.2,164.95703909039
1:00:13 AM,58,178.2,216,216,178.2,180.648188086063
1:00:16 AM,61,179.4,187,187,179.4,175.625417166116
1:00:19 AM,62,154.2,165,165,154.2,166.487234117828
1:00:22 AM,63,124.6,115,115,124.6,153.6803959912
1:00:25 AM,66,99,88,88,99,99.4145439850926
1:00:28 AM,67,77,68,68,77,80.242917310752
1:00:31 AM,68,64.2,59,59,64.2,62.7363328479021
1:00:34 AM,69,56,55,55,56,48.2187187251287
1:00:37 AM,70,50.9,51,51,50.9,38.0140030710175
1:00:40 AM,71,46.9,47,47,46.9,33.0059874295507
1:00:43 AM,73,43.7,42.5,42.5,43.7,34.6331104222151
1:00:46 AM,74,41.5,39,39,41.5,38.6345862982732
1:00:49 AM,75,40.7,39,39,40.7,43.0055632554329
1:00:52 AM,76,42.3,40,40,42.3,46.7164593404887
1:00:55 AM,78,46.9,43,43,46.9,52.9229213205885
1:00:58 AM,79,53.3,50.5,50.5,53.3,56.2318175675291
1:01:01 AM,80,60.5,62,62,60.5,60.2200442203277
1:01:04 AM,81,68.1,71,71,68.1,65.2942664549327
1:01:07 AM,82,75.9,76,76,75.9,71.6513789736354
1:01:10 AM,83,82.1,81,81,82.1,78.6491945841006
1:01:13 AM,84,86.3,89.5,90,86.3,85.4357556203364
1:01:16 AM,85,89.7,93,93,89.7,91.1591044163507
1:01:19 AM,86,91.9,92,92,91.9,94.9672833061516
1:01:22 AM,87,92.2,93,93,92.2,96.2778414739158
1:01:25 AM,88,91.6,92,92,91.6,95.5863555044949
1:01:28 AM,89,91.2,91,91,91.2,93.6579088329094
1:01:31 AM,91,90.6,90,90,90.6,89.1504671233259
1:01:34 AM,92,90.2,90,90,90.2,87.9255375727805
1:01:37 AM,93,89.45,90,90,89.45,87.4673727646236
1:01:40 AM,94,88.65,90,90,88.65,87.4844478383469
1:01:43 AM,95,87.45,87.25,87.5,87.45,87.6852379334423
