"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled"
63,-3.06666666666667,-3,2.00333333333333,-1.76386905489782,2.00333333333333
64,0.6,1,-0.751212121212121,-9.46896978642303,-0.751212121212121
65,-2.41666666666667,-1.5,6.66045454545455,-6.88076947399121,6.66045454545455
66,-0.772727272727273,2,19.8237878787879,12.0802153385309,19.8237878787879
67,38.9583333333333,43.5,46.7037878787879,43.817552191547,46.7037878787879
68,62.75,46,85.9871212121212,82.3158296465282,85.9871212121212
69,135,135,122.541666666667,121.559636264946,122.541666666667
70,194,194,146.95,155.533560608271,146.95
72,182,182,162.2,193.441042272543,162.2
75,161,161,158.2,189.423759678333,158.2
79,139,139,137.8,127.454381344602,137.8
80,115,115,113.8,110.904457061736,113.8
82,92,92,91,84.0117748346292,91
84,62,62,72.2,64.9821859961062,72.2
86,47,47,58,52.5086496199972,58
87,45,45,48.2,48.32195081592,48.2
89,44,44,44.6,43.2317913968642,44.6
90,43,43,44.4,42.1066084312433,44.4
91,44,44,45.4,42.2703851720003,45.4
92,46,46,47.8,44.1899687887655,47.8
93,50,50,51.8,48.3322064511692,51.8
94,56,56,57.4,55.028208661397,57.4
95,63,63,64.8,64.0661392518548,64.8
96,72,72,75.1,75.0984253875036,75.1
97,83,83,90.7,87.7774942333046,90.7
98,101.5,101.5,107.1,101.755772954219,107.1
100,134,134,126.166666666667,131.496722844261,126.166666666667
101,145,145,143.966666666667,145.570197817477,143.966666666667
102,167.333333333333,168,157.666666666667,157.925963192467,157.666666666667
104,172,172,162.933333333333,173.925236296703,162.933333333333
105,170,170,162.633333333333,175.789179600416,162.633333333333
108,160.333333333333,161,155.766666666667,155.985051600525,155.766666666667
109,143.5,143.5,143.566666666667,144.865742664703,143.566666666667
110,133,133,134.166666666667,133.643090104781,134.166666666667
111,111,111,124.9,123.61046762706,124.9
112,123,123,117.8,115.785427416843,117.8
113,114,114,112.2,110.082235575465,112.2
114,108,108,110.4,106.139336683265,110.4
115,105,105,105.6,103.595175320583,105.6
118,102,102,102.2,100.739562213053,102.2
119,99,99,99.4,100.188955196034,99.4
120,97,97,96.4,99.3142591553529,96.4
121,94,94,93.2,97.8388692164684,93.2
123,90,90,90.2,91.9795881459224,90.2
124,86,86,87.2,87.2505144790617,87.2
125,84,84,84.6,82.0624906991345,84.6
126,82,82,82.3333333333333,77.3870752149021,82.3333333333333
127,81,81,80.2333333333333,74.1958264351262,80.2333333333333
128,78.6666666666667,79,78.2333333333333,73.4603027685681,78.2333333333333
130,75.5,75.5,76.4333333333333,79.4448696703299,76.4333333333333
131,74,74,74.6333333333333,82.8861092889174,74.6333333333333
132,73,73,73.15,84.1242694911693,73.15
133,72,72,72.25,81.2825626309806,72.25
134,71.25,71,72.55,73.4800802785694,72.55
135,71,71,73.05,63.819430869446,73.05
136,75.5,75.5,74.9833333333333,56.3991020554438,74.9833333333333
137,75.5,75.5,78.4761904761905,55.3175814883961,78.4761904761905
138,81.6666666666667,82,86.4761904761905,64.6733568201364,86.4761904761905
139,88.7142857142857,88,94.0161904761905,87.5443283615054,94.0161904761905
140,111,111,123.016190476191,122.926047059374,123.016190476191
141,113.2,105,157.197142857143,168.793476519622,157.197142857143
142,220.5,156,209.92487394958,223.121580348126,209.92487394958
143,252.571428571429,209,274.391540616247,283.885322150765,274.391540616247
144,352.352941176471,349,365.951540616247,348.816576089481,365.951540616247
145,433.333333333333,470,439.051540616247,414.67485855046,439.051540616247
146,571,571,509.937254901961,477.976596475952,509.937254901961
149,586,586,565.466666666667,617.706812462004,565.466666666667
150,607,607,607.8,637.483863211673,607.8
151,630,630,625.6,646.509833398867,625.6
152,645,645,643.6,650.524479227603,643.6
153,660,660,662.1,655.267556901893,662.1
154,676,676,682.9,666.478822625752,682.9
155,699.5,699.5,707.9,688.521861072126,707.9
156,734,734,737.2,720.255570789679,737.2
157,770,770,770.7,759.162678796006,770.7
158,806.5,806.5,805,802.725912108704,805
159,843.5,843.5,844.266666666667,848.641293617589,844.266666666667
160,871,871,887.966666666667,895.458029701365,887.966666666667
161,930.333333333333,931,931.416666666667,941.938622610958,931.416666666667
162,988.5,988.5,974.966666666667,986.845574597293,974.966666666667
163,1023.75,1024.5,1026.77843137255,1028.9413879113,1026.77843137255
164,1061.25,1061.5,1069.52426470588,1067.09724778697,1069.52426470588
165,1130.05882352941,1156,1103.22426470588,1100.61907139061,1103.22426470588
166,1144.0625,1152.5,1132.47426470588,1128.92145887159,1132.47426470588
167,1157,1157,1155.22426470588,1151.4190103793,1155.22426470588
170,1170,1170,1165.2125,1186.02971726489,1165.2125
171,1175,1175,1173.8,1190.14427704768,1173.8
172,1180,1180,1181.9,1192.46128312262,1181.9
173,1187,1187,1190.7,1194.12890601873,1190.7
174,1197.5,1197.5,1203.83333333333,1196.29531626502,1203.83333333333
176,1214,1214,1220.63333333333,1207.36295509849,1220.63333333333
177,1240.66666666667,1240,1239.93333333333,1219.44846423339,1239.93333333333
178,1264,1264,1262.23333333333,1238.07843472673,1262.23333333333
179,1283.5,1283.5,1286.23333333333,1264.88536773826,1286.23333333333
180,1309,1309,1309.6,1301.50176442772,1309.6
181,1334,1334,1335.04,1348.31075098537,1335.04
182,1357.5,1357.5,1375.22,1400.69795372341,1375.22
183,1391.2,1392,1426.645,1452.79962398455,1426.645
184,1484.4,1459.5,1485.845,1498.75201311151,1485.845
185,1566.125,1565.5,1529.945,1534.01652386309,1529.945
186,1630,1642,1569.905,1559.35516466252,1569.905
187,1578,1578,1594.225,1576.85509534912,1594.225
191,1591,1591,1605.6,1610.21091375384,1605.6
192,1606,1606,1610.5,1619.82469146622,1610.5
193,1623,1623,1632.9,1633.81589883322,1632.9
194,1654.5,1654.5,1658.1,1652.73759935151,1658.1
195,1690,1690,1685.7,1676.83603724925,1685.7
196,1717,1717,1718.4,1706.35745675462,1718.4
197,1744,1744,1759.96666666667,1742.24773506445,1759.96666666667
198,1786.5,1786.5,1806.96666666667,1788.25128125043,1806.96666666667
199,1862.33333333333,1862,1864.16666666667,1848.81213735292,1864.16666666667
200,1925,1925,1931.36666666667,1928.37434541228,1931.36666666667
201,2003,2002.5,2041.2,2031.38194746888,2041.2
202,2080,2080,2177.2,2159.18986793758,2177.2
203,2335.66666666667,2221.5,2316.665,2300.79656073115,2316.665
204,2542.33333333333,2665,2435.765,2442.11136213687,2435.765
205,2622.325,2672,2558.565,2569.04360844201,2558.565
206,2598.5,2598.5,2634.83166666667,2667.50263593384,2634.83166666667
207,2694,2694,2675.565,2727.43818737461,2675.565
210,2717,2717,2706.9,2753.37929791318,2706.9
211,2746,2746,2755.1,2744.57707062229,2755.1
212,2779,2779,2797.5,2743.96983649161,2797.5
214,2839.5,2839.5,2849.6,2800.73965217519,2849.6
215,2906,2906,2910.4,2868.50953264749,2910.4
216,2977.5,2977.5,2979.1,2968.86396563843,2979.1
217,3050,3050,3054,3106.54887922174,3054
218,3122.5,3122.5,3344.6,3286.31020147114,3344.6
219,3214,3214,3571.36666666667,3508.70024215629,3571.36666666667
220,4359,4358,3759.96666666667,3757.49683783066,3759.96666666667
221,4111.33333333333,3451,4082.62222222222,4012.28420674364,4082.62222222222
222,3993,3558,4343.54722222222,4252.64656714464,4343.54722222222
223,4735.77777777778,5174,4345.85388888889,4464.33964581632,4345.85388888889
224,4518.625,4798,4524.58722222222,4657.80520367452,4524.58722222222
225,4370.53333333333,4357,4867.23722222222,4849.65651016832,4867.23722222222
226,5005,5005,5080.48166666667,5056.50683474685,5080.48166666667
227,5706.25,5706.5,5348.95666666667,5294.9694468592,5348.95666666667
228,5802,5802,5663.35,5576.54437373827,5663.35
229,5861,5861,6006.23,5892.27867375218,6006.23
230,5942.5,5942.5,6195.43714285714,6228.10616305287,6195.43714285714
231,6719.4,6084,6445.45532467532,6569.96065779223,6445.45532467532
232,6652.28571428571,6399.5,6873.45532467532,6904.67042710145,6873.45532467532
233,7052.09090909091,7034,7302.65532467533,7222.64155202862,7302.65532467533
234,8001,8001,7594.67532467533,7515.17456660112,7594.67532467533
238,8088.5,8088.5,7909.61818181818,8256.93620189151,7909.61818181818
239,8179.5,8179.5,8149.2,8291.786675101,8149.2
240,8227,8227,8203.4,8258.0168727304,8203.4
241,8250,8250,8245.3,8192.00048185929,8245.3
242,8272,8272,8276.3,8139.12582017767,8276.3
243,8298,8297,8311.3,8144.78120537555,8311.3
244,8334.5,8334.5,8373.1,8254.35495514295,8373.1
245,8402,8400,8559.25454545455,8495.60487811966,8559.25454545455
246,8559,8557.5,8793.05454545455,8825.7667467447,8793.05454545455
247,9202.77272727273,9183,9042.39454545455,9184.44582440689,9042.39454545455
248,9467,9571,9417.59454545455,9511.247374495,9417.59454545455
249,9581.2,9466,9784.09454545455,9759.15423402773,9784.09454545455
250,10278,10278,10044.14,9934.65953454327,10044.14
254,10391.5,10391.5,10265.94,10310.0792497947,10265.94
255,10503,10503,10479.5,10421.6373327452,10479.5
256,10576,10576,10575,10580.0180876869,10575
257,10649,10649,10675.8,10805.0679765276,10675.8
258,10755.5,10755.5,11217.2,11116.5364881348,11217.2
259,10895.5,10895.5,11868.75,11534.1488681154,11868.75
260,13210,11135,12256.25,12077.6303620766,12256.25
261,13833.75,13787,12978.275,12753.3255647192,12978.275
262,12586.5,11481,13564.5483333333,13514.0564671191,13564.5483333333
263,14365.625,15461,14267.3483333333,14299.2644094456,14267.3483333333
264,13826.8666666667,13858,14869.3983333333,15048.3907318684,14869.3983333333
266,16724,16724,15744.0983333333,16196.1638776806,15744.0983333333
267,16844,16844,16285.5733333333,16501.9484307707,16285.5733333333
268,16960,16960,16969.2666666667,16698.9470208053,16969.2666666667
269,17073,17073,17104.7666666667,16896.1312841244,17104.7666666667
270,17245.3333333333,17247,17255.2166666667,17202.4728570677,17255.2166666667
271,17401.5,17401.5,17679.3541666667,17696.3971866637,17679.3541666667
272,17596.25,17595,18290.0341666667,18334.1449626947,18290.0341666667
273,19080.6875,19112,18955.5675,19041.4106856317,18955.5675
274,20126.4,20824,19771.2675,19743.8888559457,19771.2675
275,20573,20573,20599.4175,20367.2739741075,20599.4175
278,21480,21480,21185.28,21482.2626623439,21185.28
280,21737,21737,21620.6,21838.0679748306,21620.6
282,22010,22010,22051.1,22149.4874986953,22051.1
283,22303,22303,22366.9,22359.7036421571,22366.9
284,22725.5,22725.5,22721.7,22644.2046011788,22721.7
285,23059,23059,23129.8333333333,23018.4530865204,23129.8333333333
286,23511,23512,23486.1787878788,23445.9209683621,23486.1787878788
287,24050.6666666667,24043,23860.5343434343,23877.0824067387,23860.5343434343
288,24084.7272727273,23879,24230.4486291486,24262.4115616854,24230.4486291486
289,24597.2777777778,24594.5,24472.8486291486,24562.7908823366,24472.8486291486
290,24908.5714285714,24980,24626.1152958153,24780.7359742243,24626.1152958153
295,24723,24723,24788.1698412698,25086.2843143097,24788.1698412698
296,24817,24817,24859.5142857143,25081.0258208762,24859.5142857143
297,24895,24895,25094.35,25083.800361099,25094.35
298,24954,24954,25377.4,25106.9593509238,25377.4
299,26082.75,26067,25392.9,25160.5642915527,25392.9
300,26138.25,26134,25661.2,25254.1042055018,25661.2
301,24894.5,24894.5,25722.9428571429,25397.0681152875,25722.9428571429
302,26236.5,26846,25417.3785714286,25594.4012927341,25417.3785714286
303,25262.7142857143,25290,25659.7285714286,25832.8740068979,25659.7285714286
304,24554.9285714286,24254.5,26148.4285714286,26094.7127761437,26148.4285714286
306,27350,27350,26364.7285714286,26617.3945533391,26364.7285714286
308,27338,27338,26765.8523809524,27020.2587712367,26765.8523809524
309,27318,27318,27289.4666666667,27138.4697572626,27289.4666666667
310,27268.3333333333,27257,27244.4666666667,27210.2709039714,27244.4666666667
311,27173,27173,27181.8666666667,27254.7537251416,27181.8666666667
312,27125,27125,27211.1333333333,27291.0097345515,27211.1333333333
313,27025,27025,27254.3466666667,27338.1304459795,27254.3466666667
314,27464.3333333333,26974,27335.3466666667,27415.1799902373,27335.3466666667
315,27484.4,27609,27702.7466666667,27541.1129662704,27702.7466666667
316,27578,27098,28081.3466666667,27734.8565900578,28081.3466666667
317,28962,28962,28356.28,28015.3380775783,28356.28
320,28918,28918,28604.8,29098.1638910063,28604.8
321,28839,28839,28789.4,29273.0998940298,28789.4
