date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
1:00:01 AM,69,71.737825929791,177.5,182.5,71.737825929791,115.109827766374
1:00:04 AM,70,74.737825929791,160,160,74.737825929791,144.926883516512
1:00:07 AM,71,77.656575929791,195,195,77.656575929791,167.312542200623
1:00:10 AM,73,79.7671022455805,178,178,79.7671022455805,190.378479961079
1:00:13 AM,75,82.1421022455805,157,157,82.1421022455805,190.048326923698
1:00:16 AM,80,84.7921022455805,123.5,123.5,84.7921022455805,130.527317938274
1:00:19 AM,83,87.8206736741519,89,89,87.8206736741519,87.8327750961951
1:00:22 AM,86,91.011978021978,72,72,91.011978021978,62.5861482522744
1:00:25 AM,90,94.1576923076923,64,64,94.1576923076923,52.9132789743221
1:00:28 AM,92,97.3,60,60,97.3,54.2859467723957
1:00:31 AM,94,93.975,56,56,93.975,57.3849637098801
1:00:34 AM,96,92.35,54,54,92.35,60.4005404228086
1:00:37 AM,98,89.7,53,53,89.7,61.5228875472144
1:00:40 AM,100,88.3,54,54,88.3,59.8838307331034
1:00:43 AM,101,88.25,57,57,88.25,58.8756391938238
1:00:46 AM,103,90.2,62,62,90.2,58.8818678007352
1:00:49 AM,105,94,69,69,94,64.7848292548326
1:00:52 AM,106,98.55,78,78,98.55,71.1475537745356
1:00:55 AM,107,103.4,88,88,103.4,80.1965526933947
1:00:58 AM,109,108.15,99,99,108.15,103.488020854093
1:01:01 AM,110,112.7,111,111,112.7,115.9560062848
1:01:04 AM,112,117.05,127.5,127.5,117.05,138.100270319099
1:01:07 AM,113,121.25,142,142,121.25,146.002065111561
1:01:10 AM,114,125.125,150,150,125.125,150.877157516232
1:01:13 AM,116,128.575,156,156,128.575,153.665011897848
1:01:16 AM,117,131.4,162.5,162.5,131.4,153.041429696751
1:01:19 AM,119,133.5,165,165,133.5,151.418386065641
1:01:22 AM,120,135.05,163,163,135.05,151.882580457585
1:01:25 AM,121,136.125,161,161,136.125,154.173022869168
1:01:28 AM,122,137.175,155,155,137.175,158.45029380404
1:01:31 AM,123,138.425,147,147,138.425,162.589984136539
1:01:34 AM,124,140.95,141,141,140.95,163.896437333675
1:01:37 AM,125,146.516666666667,137,137,146.516666666667,159.673996862458
1:01:40 AM,126,156.306666666667,131.5,131.5,156.306666666667,147.227006189898
1:01:43 AM,127,172.973333333333,126,126,172.973333333333,125.523149708337
1:01:46 AM,128,197.984047619048,118.5,118.5,197.984047619048,100.183475511441
1:01:49 AM,129,233.503095238095,111,111,233.503095238095,78.4923726182106
1:01:52 AM,130,271.553095238095,109,109,271.553095238095,67.7342300476434
1:01:55 AM,131,309.803095238095,109.5,109.5,309.803095238095,75.1934368187386
1:01:58 AM,132,348.278095238095,120,119.5,348.278095238095,106.347390464579
1:02:01 AM,133,387.228095238095,136,136,387.228095238095,159.445522574582
1:02:04 AM,134,426.478095238095,178,176,426.478095238095,230.930273252252
1:02:07 AM,135,465.803095238095,253.333333333333,253,465.803095238095,317.244082601088
1:02:10 AM,136,505.344761904762,345.8,345,505.344761904762,414.829390724592
1:02:13 AM,137,545.344761904762,489.333333333333,489.5,545.344761904762,520.128637726268
1:02:16 AM,138,588.611428571429,662.714285714286,664,588.611428571429,628.954427919187
1:02:19 AM,139,631.811428571429,875.380952380952,896,631.811428571429,734.600022454702
1:02:22 AM,140,677.407857142857,924,924,677.407857142857,829.728846693738
1:02:25 AM,141,727.332857142857,926,926,727.332857142857,907.004325997216
1:02:28 AM,142,777.349523809524,924.5,924.5,777.349523809524,959.089885726063
