date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
1:00:01 AM,63,93.07159864,115,115,93.07159864,153.680396
1:00:04 AM,66,88.67159864,88,88,88.67159864,99.41454399
1:00:07 AM,67,82.44659864,68,68,82.44659864,80.24291731
1:00:10 AM,68,84.75,59,59,84.75,62.73633285
1:00:13 AM,69,88.05,55,55,88.05,48.21871873
1:00:16 AM,70,86.4,51,51,86.4,38.01400307
1:00:19 AM,71,79.75,47,47,79.75,33.00598743
1:00:22 AM,73,73.425,42.5,42.5,73.425,34.63311042
1:00:25 AM,74,68.725,39,39,68.725,38.6345863
1:00:28 AM,75,65.075,39,39,65.075,43.00556326
1:00:31 AM,76,63.975,40,40,63.975,46.71645934
1:00:34 AM,78,64.175,43,43,64.175,52.92292132
1:00:37 AM,79,65.325,50.5,50.5,65.325,56.23181757
1:00:40 AM,80,66.875,62,62,66.875,60.22004422
1:00:43 AM,81,68.625,71,71,68.625,65.29426645
1:00:46 AM,82,70.575,76,76,70.575,71.65137897
1:00:49 AM,83,72.725,81,81,72.725,78.64919458
1:00:52 AM,84,74.9625,89.5,90,74.9625,85.43575562
1:00:55 AM,85,77.3125,93,93,77.3125,91.15910442
1:00:58 AM,86,79.5625,92,92,79.5625,94.96728331
1:01:01 AM,87,81.6625,93,93,81.6625,96.27784147
1:01:04 AM,88,83.5125,92,92,83.5125,95.5863555
1:01:07 AM,89,84.8625,91,91,84.8625,93.65790883
1:01:10 AM,91,85.5125,90,90,85.5125,89.15046712
1:01:13 AM,92,85.6625,90,90,85.6625,87.92553757
1:01:16 AM,93,85.49583333,90,90,85.49583333,87.46737276
1:01:19 AM,94,84.99583333,90,90,84.99583333,87.48444784
1:01:22 AM,95,84.02083333,87.25,87.5,84.02083333,87.68523793
1:01:25 AM,96,82.82083333,86,86,82.82083333,87.77821819
1:01:28 AM,99,81.62083333,84,84,81.62083333,86.06113961
1:01:31 AM,102,80.32083333,82,82,80.32083333,82.27540727
1:01:34 AM,104,79.02083333,80,80,79.02083333,79.35559708
1:01:37 AM,106,77.72083333,77.5,77.5,77.72083333,76.64628043
1:01:40 AM,108,76.42083333,75,75,76.42083333,74.59941539
1:01:43 AM,109,75.12083333,74,74,75.12083333,73.9447105
1:01:46 AM,111,73.77083333,72.66666667,73,73.77083333,73.19480002
1:01:49 AM,115,72.42083333,71,71,72.42083333,71.99882031
1:01:52 AM,117,71.25833333,70,70,71.25833333,70.44751915
1:01:55 AM,118,70.20833333,69,69,70.20833333,69.23191697
1:01:58 AM,119,69.20833333,68,68,69.20833333,67.84502157
1:02:01 AM,121,68.30833333,67,67,68.30833333,65.24454032
1:02:04 AM,122,67.525,66,66,67.525,64.3745491
1:02:07 AM,123,66.8,65,65,66.8,64.0204539
1:02:10 AM,124,66.15,64,64,66.15,64.2747135
1:02:13 AM,126,65.525,64,64,65.525,65.62937709
1:02:16 AM,127,64.94166667,63,63,64.94166667,66.12131329
1:02:19 AM,128,64.55416667,63,63,64.55416667,66.08400723
1:02:22 AM,129,64.37916667,64,64,64.37916667,65.21322501
1:02:25 AM,130,64.32916667,65,65,64.32916667,63.37397514
1:02:28 AM,131,64.32916667,64,64,64.32916667,61.1082358
1:02:31 AM,132,64.32916667,64,64,64.32916667,59.12722755
1:02:34 AM,134,64.35416667,64.33333333,64,64.35416667,58.86428666
1:02:37 AM,135,64.58988095,63,63,64.58988095,61.65889889
1:02:40 AM,136,65.43988095,62,62,65.43988095,65.5077468
1:02:43 AM,137,68.93488095,61.5,61.5,68.93488095,69.04667326
1:02:46 AM,138,72.55630952,61,61,72.55630952,70.91152111
1:02:49 AM,139,79.69797619,63.25,63.5,79.69797619,69.7381332
1:02:52 AM,140,89.09797619,66.5,66.5,89.09797619,64.89226895
1:02:55 AM,141,98.89797619,68,68,98.89797619,58.65935401
1:02:58 AM,142,109.1479762,68,68,109.1479762,54.05473062
1:03:01 AM,143,120.1729762,67,67,120.1729762,54.09374099
1:03:04 AM,144,132.0063095,66.5,66.5,132.0063095,61.79172734
1:03:07 AM,145,144.5063095,69.71428571,69,144.5063095,79.13782542
1:03:10 AM,146,158.0313095,81,81,158.0313095,104.0163451
1:03:13 AM,147,172.6063095,133.9,96.5,172.6063095,133.2853896
1:03:16 AM,148,187.8563095,135.4285714,133.5,187.8563095,163.8030623
1:03:19 AM,149,204.6938095,205.8333333,202,204.6938095,192.4274667
1:03:22 AM,150,223.0188095,252,252,223.0188095,216.6721115
1:03:25 AM,153,242.2438095,261,261,242.2438095,267.1004224
1:03:28 AM,154,263.0771429,269,269,263.0771429,279.1097738
1:03:31 AM,155,291.4938095,284.5,284.5,291.4938095,290.0366436
1:03:34 AM,156,318.4563095,301,301,318.4563095,300.7536543
1:03:37 AM,157,351.3105952,313,313,351.3105952,312.4617724
1:03:40 AM,158,388.0085119,332.5,332.5,388.0085119,326.4440501
1:03:43 AM,159,425.5635119,353,353,425.5635119,343.9835399
1:03:46 AM,160,463.5420833,366,366,463.5420833,366.3632938
1:03:49 AM,161,498.7504167,400,400,498.7504167,394.7440495
1:03:52 AM,162,533.5704167,433,433,533.5704167,429.7972849
1:03:55 AM,163,569.7004167,452.5,452.5,569.7004167,472.0721631
1:03:58 AM,164,607.6204167,484.6666667,485,607.6204167,522.1178471
1:04:01 AM,165,647.1025595,635.3333333,523,647.1025595,580.4835002
1:04:04 AM,166,687.2097024,605.75,573,687.2097024,646.7791568
1:04:07 AM,167,727.7347024,726.8,682,727.7347024,716.8583375
1:04:10 AM,168,768.2597024,814.9583333,825,768.2597024,785.6354342
1:04:13 AM,169,808.2847024,885,885,808.2847024,848.0248389
1:04:16 AM,170,848.2347024,895,895,848.2347024,900.1065639
1:04:19 AM,171,887.1847024,910,910,887.1847024,942.6231024
1:04:22 AM,172,926.1722024,948.4,945,926.1722024,977.4825681
1:04:25 AM,173,966.5222024,983.6,987,966.5222024,1006.593075
1:04:28 AM,174,1008.247202,1027.4,1028,1008.247202,1031.862735
1:04:31 AM,175,1042.005536,1074.142857,1069,1042.005536,1054.968509
1:04:34 AM,176,1078.343036,1103.142857,1101,1078.343036,1076.662732
1:04:37 AM,177,1109.469702,1123.5,1121,1109.469702,1097.466587
1:04:40 AM,179,1138.846786,1143,1143,1138.846786,1138.487919
1:04:43 AM,180,1165.196786,1153.5,1153.5,1165.196786,1159.74776
1:04:46 AM,181,1191.480119,1165,1165,1191.480119,1182.095734
1:04:49 AM,182,1217.280119,1179,1179,1217.280119,1205.521887
1:04:52 AM,183,1241.110119,1212.75,1212.5,1241.110119,1229.910041
1:04:55 AM,184,1263.080119,1259.5,1260,1263.080119,1255.144015
1:04:58 AM,185,1282.260119,1319.166667,1299,1282.260119,1280.993302
1:05:01 AM,186,1302.181548,1310.5,1311,1302.181548,1306.770077
1:05:04 AM,187,1315.999405,1332.5,1327,1315.999405,1331.672186
1:05:07 AM,188,1331.974405,1349.333333,1344,1331.974405,1354.897476
1:05:10 AM,191,1346.470238,1402.5,1402.5,1346.470238,1406.4909
1:05:13 AM,193,1369.345238,1412,1412,1369.345238,1420.120769
1:05:16 AM,194,1394.295238,1420.666667,1421,1394.295238,1421.960596
1:05:19 AM,195,1420.245238,1426,1426,1420.245238,1421.738639
1:05:22 AM,196,1445.257738,1425,1425,1445.257738,1420.396116
1:05:25 AM,197,1468.657738,1423,1423,1468.657738,1418.874241
1:05:28 AM,198,1490.749405,1411,1411,1490.749405,1418.503803
1:05:31 AM,199,1518.832738,1472.571429,1401,1518.832738,1422.17387
1:05:34 AM,200,1548.177738,1379.5,1379.5,1548.177738,1433.163079
1:05:37 AM,201,1579.011071,1443,1394,1579.011071,1454.75007
1:05:40 AM,202,1609.454821,1432.916667,1427.5,1609.454821,1489.01284
1:05:43 AM,203,1641.504821,1611,1611,1641.504821,1533.226825
1:05:46 AM,205,1691.196488,1664,1664,1691.196488,1635.807613
1:05:49 AM,206,1743.246488,1698,1698,1743.246488,1686.324005
1:05:52 AM,207,1798.913155,1713,1713,1798.913155,1731.090787
1:05:55 AM,208,1859.388155,1727.5,1727.5,1859.388155,1767.887638
1:05:58 AM,209,1924.313155,1761,1761,1924.313155,1801.313772
1:06:01 AM,210,1992.224583,1872.166667,1796,1992.224583,1837.673286
1:06:04 AM,211,2071.682917,1919.4,1829,2071.682917,1883.270278
1:06:07 AM,212,2151.132917,1966,1847,2151.132917,1944.408846
1:06:10 AM,213,2233.472083,2011.375,1949,2233.472083,2025.383381
1:06:13 AM,214,2308.022083,2053,2061,2308.022083,2122.44944
1:06:16 AM,216,2382.522083,2414.5,2414.5,2382.522083,2341.839534
1:06:19 AM,217,2456.022083,2467,2467,2456.022083,2452.655269
1:06:22 AM,218,2529.522083,2538.333333,2538,2529.522083,2557.596647
1:06:25 AM,219,2603.097083,2632.5,2632.5,2603.097083,2656.163102
1:06:28 AM,220,2676.81375,2709.5,2709.5,2676.81375,2748.904787
1:06:31 AM,221,2747.105417,2830.8,2834,2747.105417,2836.371853
1:06:34 AM,222,2817.060417,2968.666667,2958,2817.060417,2919.11445
1:06:37 AM,223,2887.810417,3032,3015.5,2887.810417,2997.137096
1:06:40 AM,224,2960.016667,3079.7,3081.5,2960.016667,3068.261762
1:06:43 AM,225,3046.166667,3102,3102,3046.166667,3129.764784
1:06:46 AM,226,3123.0625,3154,3154,3123.0625,3178.922499
1:06:49 AM,229,3203.148864,3168,3168,3203.148864,3225.087162
1:06:52 AM,230,3292.532197,3183,3183,3292.532197,3201.394706
1:06:55 AM,231,3380.107197,3199,3199,3380.107197,3174.344799
1:06:58 AM,232,3466.682197,3235.333333,3235,3466.682197,3163.819953
1:07:01 AM,233,3549.267197,3278,3278,3549.267197,3189.70268
1:07:04 AM,234,3627.508864,3318.5,3318.5,3627.508864,3271.87549
1:07:07 AM,235,3704.908864,3381,3381,3704.908864,3421.027107
1:07:10 AM,236,3816.995292,3455.5,3455.5,3816.995292,3611.071091
1:07:13 AM,237,3922.450131,3776,3565,3922.450131,3806.727217
1:07:16 AM,238,4059.050131,3952.416667,3865,4059.050131,3972.715257
1:07:19 AM,239,4223.700131,4068.727273,4085.5,4223.700131,4082.8596
1:07:22 AM,242,4391.000131,4326,4326,4391.000131,4217.077464
1:07:25 AM,243,4560.600131,4384,4384,4560.600131,4260.903269
1:07:28 AM,244,4732.333464,4441,4441,4732.333464,4336.518118
1:07:31 AM,245,4905.283464,4482.5,4482.5,4905.283464,4463.269482
1:07:34 AM,246,5078.008464,4533.5,4533.5,5078.008464,4653.984815
1:07:37 AM,247,5250.191798,4580,4580,5250.191798,4895.411495
1:07:40 AM,248,5458.466798,5321.428571,4673,5458.466798,5167.776881
1:07:43 AM,249,5646.300131,5211.096774,5094,5646.300131,5451.308335
1:07:46 AM,250,5794.629298,5886,5886,5794.629298,5726.233216
1:07:49 AM,252,5980.538172,6461,6461,5980.538172,6195.989262
1:07:52 AM,254,6146.206922,6529,6529,6146.206922,6542.946708
1:07:55 AM,255,6371.681922,6591,6591,6371.681922,6667.475409
1:07:58 AM,256,6598.598589,6670,6670,6598.598589,6757.823803
1:08:01 AM,257,6827.423589,6737,6737,6827.423589,6817.341413
1:08:04 AM,258,7057.165255,6773,6773,7057.165255,6867.416723
1:08:07 AM,259,7288.365255,6824.666667,6826,7288.365255,6933.947957
1:08:10 AM,260,7485.956327,7621,6884,7485.956327,7042.833343
1:08:13 AM,261,7689.251488,7532.666667,6902,7689.251488,7219.971103
1:08:16 AM,262,7862.351488,6919,6919,7862.351488,7481.268877
1:08:19 AM,263,8008.501488,7786.904762,8031,8008.501488,7802.671948
1:08:22 AM,264,8153.451488,7639.375,7631.5,8153.451488,8150.135014
1:08:25 AM,265,8298.001488,8893.5,8893.5,8298.001488,8489.612772
1:08:28 AM,266,8441.851488,8979.333333,8980,8441.851488,8787.05992
1:08:31 AM,267,8683.363988,9059,9059,8683.363988,9015.214399
1:08:34 AM,268,8898.480655,9128.333333,9129,8898.480655,9173.947129
1:08:37 AM,269,9119.613988,9204,9206,9119.613988,9269.912273
1:08:40 AM,270,9338.570238,9273.25,9276.5,9338.570238,9309.763997
1:08:43 AM,271,9584.816905,9277,9260,9584.816905,9302.72534
1:08:46 AM,275,9863.885655,9348,9348,9863.885655,9221.32656
1:08:49 AM,276,10152.44042,9384,9384,10152.44042,9298.002932
1:08:52 AM,277,10451.27167,9428,9428,10451.27167,9457.624572
1:08:55 AM,278,10690.99667,9482,9482,10690.99667,9722.258902
1:08:58 AM,279,10930.78,9547,9547,10930.78,10103.33857
1:09:01 AM,280,11175.19667,11567.25,11586.5,11175.19667,10569.75715
1:09:04 AM,281,11427.78,11075.33333,9927,11427.78,11079.77345
1:09:07 AM,282,11697.11125,11247.33333,10187,11697.11125,11591.64626
1:09:10 AM,283,11968.15875,12000.125,12110,11968.15875,12063.63439
1:09:13 AM,284,12270.40875,12457.6,13176,12270.40875,12464.36368
1:09:16 AM,285,12572.97875,12500.375,12526.5,12572.97875,12803.9281
1:09:19 AM,286,12885.61208,13558,13558,12885.61208,13102.78865
1:09:22 AM,287,13227.86208,13616,13616,13227.86208,13381.40636
1:09:25 AM,288,13574.01208,13688,13688,13574.01208,13655.78516
1:09:28 AM,289,13934.39958,13775,13775,13934.39958,13924.10069
1:09:31 AM,290,14212.13708,13947.33333,13946,14212.13708,14180.07152
1:09:34 AM,291,14554.03292,14180,14181,14554.03292,14417.41621
1:09:37 AM,292,14914.31125,14590.625,14540.5,14914.31125,14629.85335
1:09:40 AM,293,15277.165,14694.2,14678,15277.165,14816.02935
1:09:43 AM,294,15609.685,15322,15322,15609.685,14994.30214
1:09:46 AM,295,15944.26625,15399.4,15430,15944.26625,15187.95749
1:09:49 AM,296,16222.54958,15636.66667,15716,16222.54958,15420.28116
1:09:52 AM,298,16421.48958,16273,16273,16421.48958,16094.07662
1:09:55 AM,299,16660.88958,16405,16405,16660.88958,16568.95714
1:09:58 AM,300,16842.68958,16754.75,16753,16842.68958,17096.67226
1:10:01 AM,301,16976.27292,17122,17122,16976.27292,17621.53091
1:10:04 AM,302,17096.02292,17913.25,17511,17096.02292,18087.84203
1:10:07 AM,303,17193.09167,18452.9,18434,17193.09167,18448.76123
1:10:10 AM,304,17281.90667,19257.2,19315,17281.90667,18692.83071
1:10:13 AM,305,17335.43167,19108,19108,17335.43167,18817.43937
1:10:16 AM,306,17381.71167,19192,19192,17381.71167,18819.97609
1:10:19 AM,307,17418.58667,19123.66667,19107,17418.58667,18697.82974
1:10:22 AM,308,17424.04917,17594.8,16837,17424.04917,18454.83802
1:10:25 AM,309,17421.15505,18476,18478,17421.15505,18120.63375
1:10:28 AM,310,17406.31755,17411,17372,17406.31755,17731.29857
1:10:31 AM,311,17372.41755,16619,16619,17372.41755,17322.9141
1:10:34 AM,314,17298.20505,16575,16575,17298.20505,16344.28131
1:10:37 AM,315,17196.21005,16532,16532,17196.21005,16209.94666
1:10:40 AM,317,17053.20005,16470.5,16470.5,17053.20005,16207.77077
1:10:43 AM,318,16916.95005,16392.5,16392.5,16916.95005,16285.26038
1:10:46 AM,319,16737.66255,16325,16325,16737.66255,16378.68894
1:10:49 AM,320,16561.84172,16374.16667,16381.5,16561.84172,16460.72186
1:10:52 AM,321,16499.72672,16382.25,16452.5,16499.72672,16509.73844
1:10:55 AM,322,16353.81243,16347.11765,16345,16353.81243,16526.97343
1:10:58 AM,323,16277.54576,16458,16458,16277.54576,16519.37544
1:11:01 AM,327,16188.89576,16444,16444,16188.89576,16379.62616
1:11:04 AM,328,16103.44576,16429,16429,16103.44576,16349.24294
1:11:07 AM,329,16013.63326,16413,16413,16013.63326,16318.62051
1:11:10 AM,330,15938.48326,16397,16397,15938.48326,16277.60956
1:11:13 AM,331,15859.49826,16383,16383,15859.49826,16216.06074
1:11:16 AM,332,15772.0316,15606.25,15609,15772.0316,16123.82475
