date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
1:00:01 AM,70,71.5973822321762,186,202,71.5973822321762,133.719443705259
1:00:04 AM,71,73.6523822321762,190,190,73.6523822321762,153.588990165367
1:00:07 AM,72,76.5971190742815,170,170,76.5971190742815,167.456107186284
1:00:10 AM,74,79.7929524076148,148,148,79.7929524076148,178.543122245534
1:00:13 AM,76,82.8229524076148,125,125,82.8229524076148,171.741364624792
1:00:16 AM,81,86.2104524076148,102,102,86.2104524076148,110.395304560178
1:00:19 AM,84,89.8209787234043,71.5,71.5,89.8209787234043,69.02707046481
1:00:22 AM,86,93.6829787234043,60,60,93.6829787234043,50.3167967862822
1:00:25 AM,88,96.85,58,58,96.85,43.185311841568
1:00:28 AM,90,92.4,56,56,92.4,45.0687511714987
1:00:31 AM,91,88.55,54,54,88.55,48.1065543200086
1:00:34 AM,93,84.8,51.5,51.5,84.8,55.8053013452235
1:00:37 AM,95,82.3,52,52,82.3,62.2428676895055
1:00:40 AM,96,81.1,54,54,81.1,63.9092335707669
1:00:43 AM,97,81.15,58,58,81.15,64.9491200419625
1:00:46 AM,98,82.4,64,64,82.4,66.0789533588177
1:00:49 AM,100,85.125,70,70,85.125,71.4741655524076
1:00:52 AM,101,88.3,82,82,88.3,77.1723969405928
1:00:55 AM,102,90.8714285714286,94,94,90.8714285714286,85.5047096175431
1:00:58 AM,103,93.5214285714286,102,102,93.5214285714286,95.5796769400064
1:01:01 AM,104,96.1214285714286,109,109,96.1214285714286,106.184301684935
1:01:04 AM,105,98.3464285714286,115,115,98.3464285714286,116.105586629282
1:01:07 AM,106,100.446428571429,120,120,100.446428571429,124.13053455
1:01:10 AM,107,102.396428571429,124,124,102.396428571429,129.046148224041
1:01:13 AM,108,104.021428571429,126,126,104.021428571429,130.019498678309
1:01:16 AM,109,105.271428571429,127,127,105.271428571429,127.737929939508
1:01:19 AM,110,106.171428571429,126,126,106.171428571429,123.268854284297
1:01:22 AM,111,106.421428571429,123.5,123.5,106.421428571429,117.67968398933
1:01:25 AM,112,106.071428571429,109.428571428571,112,106.071428571429,112.037831331264
1:01:28 AM,113,105.321428571429,109,109,105.321428571429,107.21440950781
1:01:31 AM,114,104.271428571429,106,106,104.271428571429,103.295335400894
1:01:34 AM,115,102.971428571429,96,96,102.971428571429,100.170226813494
1:01:37 AM,117,101.471428571429,94,94,101.471428571429,95.8603774091665
1:01:40 AM,121,99.8714285714286,93,93,99.8714285714286,91.9114481658282
1:01:43 AM,123,98.4464285714286,90.5,90.5,98.4464285714286,90.5062531744942
1:01:46 AM,125,97.0464285714286,89,89,97.0464285714286,88.6311033866973
1:01:49 AM,126,96.0464285714286,88,88,96.0464285714286,87.7332532788686
1:01:52 AM,127,95.3714285714286,87,87,95.3714285714286,87.0426523172551
1:01:55 AM,128,95.9,87,87,95.9,86.6948749684837
1:01:58 AM,129,97.35,87,87,97.35,86.8254956991809
1:02:01 AM,130,99.825,88,88,99.825,87.5352906688908
1:02:04 AM,131,103.525,89,89,103.525,88.785842808826
1:02:07 AM,132,107.875,90,90,107.875,90.5039367431167
1:02:10 AM,134,113.575,92,92,113.575,95.049888491284
1:02:13 AM,135,121.04,97.5,97.5,121.04,97.7313155534208
1:02:16 AM,136,130.24,99,99,130.24,100.736929478571
1:02:19 AM,137,140.715,106,106,140.715,104.741047751554
1:02:22 AM,138,152.165,110,110,152.165,110.567494429328
1:02:25 AM,139,164.306666666667,120,120,164.306666666667,119.04009356885
1:02:28 AM,140,177.000416666667,138,138,177.000416666667,130.982669227078
1:02:31 AM,141,189.893273809524,155.5,155.5,189.893273809524,147.21904546097
1:02:34 AM,142,205.143273809524,170,170,205.143273809524,168.159657797951
1:02:37 AM,143,219.593273809524,181,181,219.593273809524,192.561387647324
1:02:40 AM,144,233.359940476191,207,207,233.359940476191,218.767727888857
1:02:43 AM,145,247.109940476191,239.8,240,247.109940476191,245.12217140232
1:02:46 AM,146,263.409940476191,273,273,263.409940476191,269.968211067483
1:02:49 AM,147,279.93494047619,297.5,298,279.93494047619,291.976366803189
1:02:52 AM,148,296.93494047619,316,316,296.93494047619,311.125266684572
1:02:55 AM,149,313.88494047619,329.833333333333,330,313.88494047619,327.72056582584
1:02:58 AM,150,330.43494047619,340.875,341.5,330.43494047619,342.067919341201
1:03:01 AM,151,346.80994047619,345.857142857143,346,346.80994047619,354.472982344863
1:03:04 AM,152,363.409940476191,394,394,363.409940476191,365.241409951035
1:03:07 AM,153,380.43494047619,379,379,380.43494047619,374.674634356319
1:03:10 AM,154,397.109940476191,367.333333333333,365,397.109940476191,383.057196086905
1:03:13 AM,155,413.01994047619,372.5,366.5,413.01994047619,390.669412751377
1:03:16 AM,159,428.14494047619,425,425,428.14494047619,419.021180919816
1:03:19 AM,161,442.89494047619,436.5,436.5,442.89494047619,435.86325243055
1:03:22 AM,162,461.280654761905,450,450,461.280654761905,445.905301909378
1:03:25 AM,163,477.376488095238,459,459,477.376488095238,457.259678611483
1:03:28 AM,164,496.891071428571,469,469,496.891071428571,470.046831566164
1:03:31 AM,165,517.889880952381,483,483,517.889880952381,484.387209802721
1:03:34 AM,166,536.586655145929,502,502,536.586655145929,500.401262350453
1:03:37 AM,167,561.303321812596,521.5,521.5,561.303321812596,518.242542557767
1:03:40 AM,168,587.336655145929,540.5,540.5,587.336655145929,538.197021049501
1:03:43 AM,169,613.586655145929,558,558,613.586655145929,560.583772769603
1:03:46 AM,170,637.836655145929,575.5,575.5,637.836655145929,585.721872662018
1:03:49 AM,171,662.261655145929,592.5,592.5,662.261655145929,613.930395670692
1:03:52 AM,172,686.811655145929,683.714285714286,627,686.811655145929,645.528416739572
1:03:55 AM,173,712.775940860215,651.75,651.5,712.775940860215,680.559842311492
1:03:58 AM,174,744.528882036686,731.166666666667,688.5,744.528882036686,717.967904824834
1:04:01 AM,175,779.338882036686,765.833333333333,765,779.338882036686,756.420668216868
1:04:04 AM,176,816.088882036686,767.935483870968,772,816.088882036686,794.586196424866
1:04:07 AM,177,852.163882036685,873.333333333333,873,852.163882036685,831.132553386095
1:04:10 AM,178,887.588882036685,888,888,887.588882036685,865.11466736252
1:04:13 AM,179,922.388882036685,897.5,897.5,922.388882036685,897.134923914885
1:04:16 AM,180,956.513882036685,910,910,956.513882036685,928.182572928625
1:04:19 AM,181,989.963882036686,925,925,989.963882036686,959.246864289177
1:04:22 AM,182,1018.87816775097,941,941,1018.87816775097,991.317047881977
1:04:25 AM,183,1049.36566775097,978.285714285714,978,1049.36566775097,1025.06937487662
1:04:28 AM,184,1075.83233441764,1104.05882352941,1096,1075.83233441764,1059.92810157935
1:04:31 AM,185,1100.59066775097,1179.2,1169,1100.59066775097,1095.00448558054
1:04:34 AM,189,1125.33139355742,1237,1237,1125.33139355742,1219.71174637784
1:04:37 AM,190,1145.24806022409,1243,1243,1145.24806022409,1242.54528072725
1:04:40 AM,191,1166.38556022409,1249,1249,1166.38556022409,1260.26401791749
1:04:43 AM,192,1187.42306022409,1254,1254,1187.42306022409,1272.18508078959
1:04:46 AM,193,1207.60784283279,1258,1258,1207.60784283279,1278.44905318721
1:04:49 AM,194,1230.85784283279,1261.5,1261.5,1230.85784283279,1279.40238420464
1:04:52 AM,195,1264.9935571185,1262,1262,1264.9935571185,1275.3915229362
1:04:55 AM,196,1296.91260473755,1261.5,1261.5,1296.91260473755,1266.76291847618
1:04:58 AM,197,1329.25966356108,1260.5,1260.5,1329.25966356108,1254.66699153372
1:05:01 AM,198,1360.39966356108,1261,1261,1360.39966356108,1243.47004927726
1:05:04 AM,199,1395.94966356108,1262.75,1262.5,1395.94966356108,1238.34237049007
1:05:07 AM,200,1432.74966356108,1271.66666666667,1271,1432.74966356108,1244.45423395542
1:05:10 AM,201,1470.79966356108,1310.75,1302.5,1470.79966356108,1266.97591845659
1:05:13 AM,202,1510.09966356108,1318.25,1320.5,1510.09966356108,1311.07770277683
1:05:16 AM,203,1551.37466356108,1313.69565217391,1299,1551.37466356108,1379.61141071729
1:05:19 AM,204,1594.49966356108,1390,1409,1594.49966356108,1466.15504615043
1:05:22 AM,205,1640.26633022774,1623.71428571429,1547,1640.26633022774,1561.96815796662
1:05:25 AM,206,1689.31633022774,1616.66666666667,1616,1689.31633022774,1658.31029505618
1:05:28 AM,207,1741.64133022774,1751,1724,1741.64133022774,1746.44100630947
1:05:31 AM,208,1797.55799689441,1802,1802,1797.55799689441,1819.61056588718
1:05:34 AM,209,1856.77049689441,1948,1948,1856.77049689441,1879.03214903143
1:05:37 AM,211,1942.43716356108,1979,1979,1942.43716356108,1969.44698806946
1:05:40 AM,212,2019.29966356108,2010,2010,2019.29966356108,2006.8480449882
1:05:43 AM,213,2107.33716356108,2040,2040,2107.33716356108,2043.31672752339
1:05:46 AM,214,2195.87738095238,2083.5,2083.5,2195.87738095238,2082.1689613493
1:05:49 AM,215,2279.56488095238,2124,2124,2279.56488095238,2127.16877278743
1:05:52 AM,216,2350.47916666667,2177.33333333333,2177,2350.47916666667,2182.19221332105
