date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
1:00:01 AM,73,72.0469076374511,204,204,72.0469076374511,188.285882636701
1:00:04 AM,75,74.0269076374511,187.5,187.5,74.0269076374511,203.710667512035
1:00:07 AM,77,76.6269076374511,149,149,76.6269076374511,181.391171553243
1:00:10 AM,78,79.8269076374511,192,192,79.8269076374511,159.815146853567
1:00:13 AM,79,83.3197647803083,113,113,83.3197647803083,134.440387142159
1:00:16 AM,81,86.4054790660226,65,65,86.4054790660226,81.7310110894993
1:00:19 AM,82,90.7029790660226,55.5,55.5,90.7029790660226,59.1145689509271
1:00:22 AM,83,95.6826086956522,49,49,95.6826086956522,41.6469992946571
1:00:25 AM,84,100.8,46,46,100.8,29.2436846654185
1:00:28 AM,90,98,45,45,98,29.065083928429
1:00:31 AM,92,95.7,46,46,95.7,43.5273446134617
1:00:34 AM,94,94.775,48,48,94.775,57.6057242092676
1:00:37 AM,95,96.275,53,53,96.275,63.0675626822277
1:00:40 AM,97,95.875,61,61,95.875,69.8860880968251
1:00:43 AM,98,99.575,72,72,99.575,72.7310298636274
1:00:46 AM,100,105.725,84,84,105.725,81.6117657515049
1:00:49 AM,101,112.175,99,99,112.175,89.3753575666862
1:00:52 AM,102,118.675,115,115,118.675,100.5062970921
1:00:55 AM,104,125.075,131,131,125.075,132.618171334749
1:00:58 AM,105,131.275,145,145,131.275,150.228894171344
1:01:01 AM,106,137.175,158,158,137.175,166.320362620434
1:01:04 AM,107,142.408333333333,169,169,142.408333333333,178.975743033757
1:01:07 AM,108,146.858333333333,179,179,146.858333333333,186.278201763048
1:01:10 AM,109,150.483333333333,184,184,150.483333333333,187.019903866368
1:01:13 AM,110,153.083333333333,187,187,153.083333333333,182.829009227064
1:01:16 AM,111,154.783333333333,188,188,154.783333333333,176.042676434807
1:01:19 AM,112,155.433333333333,184.5,184.5,155.433333333333,168.998064079266
1:01:22 AM,113,154.793333333333,179,179,154.793333333333,164.032330750112
1:01:25 AM,114,152.993333333333,174,174,152.993333333333,163.482635037015
1:01:28 AM,115,150.343333333333,169,169,150.343333333333,168.517505376754
1:01:31 AM,116,146.91,164,164,146.91,175.630949594549
1:01:34 AM,117,142.86,152.666666666667,153,142.86,180.148345362725
1:01:37 AM,118,138.69125,142,142,138.69125,177.395070353609
1:01:40 AM,119,135.54125,133.5,133.5,135.54125,162.69650223953
1:01:43 AM,120,133.59125,124,124,133.59125,133.711981405254
1:01:46 AM,121,132.99125,118,118,132.99125,97.4366990853059
1:01:49 AM,122,134.76625,112,112,134.76625,63.1998092266504
1:01:52 AM,123,137.509107142857,102.2,102,137.509107142857,40.3304657762524
1:01:55 AM,124,146.134107142857,95,95,146.134107142857,38.1578226810766
1:01:58 AM,125,158.234107142857,92,92,158.234107142857,62.4659054486832
1:02:01 AM,126,174.434107142857,89.3333333333333,89,174.434107142857,104.858225829014
1:02:04 AM,127,196.900773809524,88,88,196.900773809524,153.393167132605
1:02:07 AM,128,234.16505952381,95.625,95,234.16505952381,196.129112669994
1:02:10 AM,129,291.88005952381,121,120,291.88005952381,221.124445751719
1:02:13 AM,130,386.546726190476,148,148,386.546726190476,216.437549688315
1:02:16 AM,131,491.056726190476,176,176,491.056726190476,176.490097144155
1:02:19 AM,133,628.956726190476,220,220,628.956726190476,76.6761322862636
1:02:22 AM,134,773.596726190476,233.857142857143,238,773.596726190476,69.2858588396331
1:02:25 AM,135,925.046726190476,346.5,346.5,925.046726190476,125.224217292613
1:02:28 AM,136,1086.59672619048,411,411,1086.59672619048,270.729327078755
1:02:31 AM,137,1258.58005952381,488,488,1258.58005952381,521.660880317058
1:02:34 AM,138,1437.63005952381,602,601,1437.63005952381,852.364859868325
