Depth,Frac,Lab/Run,SampleNo,SampleName,Temp_max,Temp_50,Temp_mid,Temp_min,Frac_No,FracPropTot,d13C,d13C_err,FracC_OG,CummC_Final,Cum14C_Final,Bulk_14C,CummC,Cumm14C_OG,Cumm13C_OG,FracCPaper,Cumm14C_paper,Cumm13CPaper,Bulk_13C,AMS d13C,Int.Err,Ext.Err,Fm,Fm_err,D14C,D14C_err,Age,Age_err,Age_prof,Del14C,Del14C_err,Corr_Fm
0-10 cm,Bulk,UCI-Aug,UCIT38780,WeP4_0-10_Bulk_F1_tempC_140-205,206,,173,140,1,,,,0.012,0.041,,-11.1,0.041,,,0.041,,,-27,-18.6,0.5,1.7,1.0479,0.0026,47.9,2.6,-370,20,53,39.2,2.6,1.045308054
0-10 cm,Bulk,UCI-Aug,UCIT38781,WeP4_0-10_Bulk_F2_tempC_205-260,261,,233.5,205,2,,-27.86539074,0.012215274,0.152,0.217,,-11.1,0.259,,,0.218,,,,-26,0.5,0.9,1.0375,0.0015,37.5,1.5,-290,15,54,28.8,1.5,1.037273987
0-10 cm,Bulk,UCI-Aug,UCIT38782,WeP4_0-10_Bulk_F3_tempC_260-310,310,,285.5,260,3,,-27.35934807,0.012622585,0.386,0.389,,-11.1,0.639,,,0.38,,,,-24.3,0.5,0.8,1.0029,0.0014,2.9,1.4,-20,15,55,-5.4,1.4,1.00288077
0-10 cm,Bulk,UCI-Aug,UCIT38783,WeP4_0-10_Bulk_F4_tempC_310-350,350,,330,310,4,,-26.43619748,0.01309156,0.188,0.185,,-11.1,0.824,,,0.185,,,,-25.7,0.5,0.8,0.9867,0.0014,-13.3,1.4,110,15,110,-21.5,1.4,0.986673201
0-10 cm,Bulk,UCI-Jan,UCIT39314,WeP4_0-10_Bulk_F5_tempC_350-380,380,,365,350,5,,-25.7,0.15,,0.073,,-11.1,0.881709924,,,,,,,,,,0.9649,0.0017,,,285,15,,-43.2,1.7,0.964955879
0-10 cm,Bulk,UCI-Jan,UCIT39315,WeP4_0-10_Bulk_F6_tempC_380-410,410,,395,380,6,,-25.3,0.15,,0.042,,-11.1,0.922748092,,,,,,,,,,0.9459,0.0016,,,445,15,,-62.1,1.6,0.945939932
0-10 cm,Bulk,UCI-Jan,UCIT39316,WeP4_0-10_Bulk_F7_tempC_410-450,450,,430,410,7,,-25.7,0.15,,0.027,,-11.1,0.956091603,,,,,,,,,,0.9065,0.0016,,,790,15,,-101.1,1.6,0.906992463
0-10 cm,Bulk,UCI-Jan,UCIT39317,WeP4_0-10_Bulk_F8_tempC_450-750,750,,600,450,8,,-25.2,0.15,,0.026,-15.71191679,-11.1,0.992,,-25.64288877,,,,,,,,0.7514,0.0013,,,2295,15,,-254.9,1.3,0.762058184
0-10 cm,FPOM,MPI-Run15,21251,WeP4_0-10_FPOM_F1,240,,190,140,1,0.087,-28.03434413,0.011756298,0.026,0.108,,71.4,0.109,,,0.109,,,,,,,1.1015,0.0017,,,,,11,92.3,1.7,1.100399341
0-10 cm,FPOM,MPI-Run15,21252,WeP4_0-10_FPOM_F2,315,,277.5,240,2,0.087,-26.45521475,0.012960727,0.242,0.43,,71.4,0.537,,,0.428,,,,,,,1.0938,0.0018,,,,,9,84.7,1.8,1.093605444
